"CUADRO Nº 6: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia SIHUAS (000)",8288,127,2333,2813,2192,823
"Miembros p.ejec.y leg. direct., adm. pub.y emp. (001)",38,,4,21,13,
"Profes., científicos e intelectuales (002)",816,,153,435,226,2
"Técnicos de nivel medio y trab. asimilados (003)",123,,34,66,20,3
"Jefes y empleados de oficina (004)",181,,72,76,30,3
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",310,3,78,115,88,26
"Agricult. trabaj. calif.agrop. y pesqueros (006)",3491,8,703,1118,1108,554
"Obreros y oper.minas, cant.,ind.manuf. y otros (007)",195,1,59,63,61,11
"Obreros construc., conf., papel, fab., instr. (008)",220,,61,97,55,7
"Trabaj.no calif. serv., peon, vend.,amb.,y afines (009)",2720,115,1113,759,542,191
"Otra (010)",14,,3,10,1,
"Ocupación no especificada (011)",180,,53,53,48,26
"Hombres (012)",5682,86,1561,1866,1571,598
"Miembros p.ejec.y leg. direct., adm. pub.y emp. (013)",32,,3,17,12,
"Profes., científicos e intelectuales (014)",460,,71,231,157,1
"Técnicos de nivel medio y trab. asimilados (015)",85,,24,43,15,3
"Jefes y empleados de oficina (016)",109,,36,48,23,2
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",120,,28,42,40,10
"Agricult. trabaj. calif.agrop. y pesqueros (018)",2885,7,570,923,929,456
"Obreros y oper.minas, cant.,ind.manuf. y otros (019)",172,,50,58,54,10
"Obreros construc., conf., papel, fab., instr. (020)",219,,61,97,55,6
"Trabaj.no calif. serv., peon, vend.,amb.,y afines (021)",1528,79,695,379,271,104
"Otra (022)",14,,3,10,1,
"Ocupación no especificada (023)",58,,20,18,14,6
"Mujeres (024)",2606,41,772,947,621,225
"Miembros p.ejec.y leg. direct., adm. pub.y emp. (025)",6,,1,4,1,
"Profes., científicos e intelectuales (026)",356,,82,204,69,1
"Técnicos de nivel medio y trab. asimilados (027)",38,,10,23,5,
"Jefes y empleados de oficina (028)",72,,36,28,7,1
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",190,3,50,73,48,16
"Agricult. trabaj. calif.agrop. y pesqueros (030)",606,1,133,195,179,98
"Obreros y oper.minas, cant.,ind.manuf. y otros (031)",23,1,9,5,7,1
"Obreros construc., conf., papel, fab., instr. (032)",1,,,,,1
"Trabaj.no calif. serv., peon, vend.,amb.,y afines (033)",1192,36,418,380,271,87
"Ocupación no especificada (035)",122,,33,35,34,20
