"CUADRO Nº 12: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia GENERAL SANCHEZ CERRO (000)",10201,6931,1026,1025,1219
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",44,,6,11,27
"Profes., científicos e intelectuales (002)",919,254,250,295,120
"Técnicos de nivel medio y trab. asimilados (003)",328,77,38,37,176
"Jefes y empleados de oficina (004)",244,20,13,41,170
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",431,366,25,17,23
"Agricult.trabaj.calif.agrop.y pesqueros (006)",2959,2866,92,1,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",405,164,18,29,194
"Obreros construc.,conf.,papel, fab., instr. (008)",670,223,100,151,196
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",3672,2707,381,348,236
"Otra (010)",59,,,,59
"Ocupación no especificada (011)",470,254,103,95,18
"Hombres (012)",7108,4591,707,772,1038
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",37,,6,9,22
"Profes., científicos e intelectuales (014)",458,90,118,164,86
"Técnicos de nivel medio y trab. asimilados (015)",253,51,29,30,143
"Jefes y empleados de oficina (016)",145,10,4,22,109
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",174,128,15,9,22
"Agricult.trabaj.calif.agrop.y pesqueros (018)",2488,2406,82,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",351,120,14,24,193
"Obreros construc.,conf.,papel, fab., instr. (020)",656,220,98,147,191
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",2183,1424,272,288,199
"Otra (022)",58,,,,58
"Ocupación no especificada (023)",305,142,69,79,15
"Mujeres (024)",3093,2340,319,253,181
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",7,,,2,5
"Profes., científicos e intelectuales (026)",461,164,132,131,34
"Técnicos de nivel medio y trab. asimilados (027)",75,26,9,7,33
"Jefes y empleados de oficina (028)",99,10,9,19,61
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",257,238,10,8,1
"Agricult.trabaj.calif.agrop.y pesqueros (030)",471,460,10,1,
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",54,44,4,5,1
"Obreros construc.,conf.,papel, fab., instr. (032)",14,3,2,4,5
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (033)",1489,1283,109,60,37
