"CUADRO Nº 8: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia AYABACA (000)",127923,7948,18471,19657,13698,18116,15475,25104,9454
"Sabe leer y escribir (001)",93473,,9362,19006,13101,16314,13178,17989,4523
"No sabe leer y escribir (002)",34450,7948,9109,651,597,1802,2297,7115,4931
"Hombres (004)",65442,3949,9460,10001,7399,9357,7728,12631,4917
"Sabe leer y escribir (005)",50594,,4757,9689,7133,8699,6978,10393,2945
"No sabe leer y escribir (006)",14848,3949,4703,312,266,658,750,2238,1972
"Mujeres (008)",62481,3999,9011,9656,6299,8759,7747,12473,4537
"Sabe leer y escribir (009)",42879,,4605,9317,5968,7615,6200,7596,1578
"No sabe leer y escribir (010)",19602,3999,4406,339,331,1144,1547,4877,2959
,,,,,,,,,
"URBANA (012)",14965,605,1503,1879,1774,2330,2184,3541,1149
"Sabe leer y escribir (013)",13227,,1083,1865,1755,2289,2124,3248,863
"No sabe leer y escribir (014)",1738,605,420,14,19,41,60,293,286
"Hombres (016)",7430,299,752,894,860,1192,1074,1777,582
"Sabe leer y escribir (017)",6693,,537,886,852,1172,1061,1697,488
"No sabe leer y escribir (018)",737,299,215,8,8,20,13,80,94
"Mujeres (020)",7535,306,751,985,914,1138,1110,1764,567
"Sabe leer y escribir (021)",6534,,546,979,903,1117,1063,1551,375
"No sabe leer y escribir (022)",1001,306,205,6,11,21,47,213,192
,,,,,,,,,
"RURAL (024)",112958,7343,16968,17778,11924,15786,13291,21563,8305
"Sabe leer y escribir (025)",80246,,8279,17141,11346,14025,11054,14741,3660
"No sabe leer y escribir (026)",32712,7343,8689,637,578,1761,2237,6822,4645
"Hombres (028)",58012,3650,8708,9107,6539,8165,6654,10854,4335
"Sabe leer y escribir (029)",43901,,4220,8803,6281,7527,5917,8696,2457
"No sabe leer y escribir (030)",14111,3650,4488,304,258,638,737,2158,1878
"Mujeres (032)",54946,3693,8260,8671,5385,7621,6637,10709,3970
"Sabe leer y escribir (033)",36345,,4059,8338,5065,6498,5137,6045,1203
"No sabe leer y escribir (034)",18601,3693,4201,333,320,1123,1500,4664,2767
