"CUADRO Nº 2: VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia CHINCHA (000)",52517,45495,7022
"Casa independiente (001)",42352,36541,5811
"Departamento en edificio (002)",440,440,
"Vivienda en quinta (003)",343,343,
"Vivienda en casa de vecindad (004)",418,418,
"Choza o cabaña (005)",1203,,1203
"Vivienda improvisada (006)",7428,7428,
"Local no dest.para hab. humana (007)",73,71,2
"Otro tipo (008)",260,254,6
