"CUADRO Nº 12: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia CHUMBIVILCAS (000)",23119,20185,1579,652,703
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",35,,4,2,29
"Profes., científicos e intelectuales (002)",1147,275,251,376,245
"Técnicos de nivel medio y trab. asimilados (003)",197,112,20,19,46
"Jefes y empleados de oficina (004)",168,22,7,12,127
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",1060,1012,34,6,8
"Agricult.trabaj.calif.agrop.y pesqueros (006)",10265,9674,588,1,2
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",980,860,75,38,7
"Obreros construc.,conf.,papel, fab., instr. (008)",776,590,116,30,40
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",7834,7073,441,147,173
"Otra (010)",22,,,,22
"Ocupación no especificada (011)",635,567,43,21,4
"Hombres (012)",14366,12221,1153,465,527
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",28,,2,2,24
"Profes., científicos e intelectuales (014)",725,186,153,231,155
"Técnicos de nivel medio y trab. asimilados (015)",126,78,15,15,18
"Jefes y empleados de oficina (016)",119,12,6,7,94
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",338,312,17,3,6
"Agricult.trabaj.calif.agrop.y pesqueros (018)",8219,7695,522,1,1
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",622,519,62,34,7
"Obreros construc.,conf.,papel, fab., instr. (020)",733,551,113,30,39
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",3181,2657,240,125,159
"Otra (022)",22,,,,22
"Ocupación no especificada (023)",253,211,23,17,2
"Mujeres (024)",8753,7964,426,187,176
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",7,,2,,5
"Profes., científicos e intelectuales (026)",422,89,98,145,90
"Técnicos de nivel medio y trab. asimilados (027)",71,34,5,4,28
"Jefes y empleados de oficina (028)",49,10,1,5,33
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",722,700,17,3,2
"Agricult.trabaj.calif.agrop.y pesqueros (030)",2046,1979,66,,1
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",358,341,13,4,
"Obreros construc.,conf.,papel, fab., instr. (032)",43,39,3,,1
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (033)",4653,4416,201,22,14
