"CUADRO Nº 2: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia SANTIAGO DE CHUCO (000)",19776,19169,5814,2240,2192,1823,2872,2010,1294,924,607,58980
"De 12 a 14 años (001)",2243,2232,2225,6,1,,,,,,11,8
"De 15 a 19 años (002)",2750,2692,2290,327,64,8,3,,,,58,491
"De 20 a 24 años (003)",2184,1985,630,715,448,152,39,1,,,199,2234
"De 25 a 29 años (004)",1849,1718,177,408,513,324,258,35,3,,131,3751
"De 30 a 34 años (005)",1794,1707,124,234,368,352,454,145,26,4,87,5183
"De 35 a 39 años (006)",1745,1714,74,138,251,306,541,272,102,30,31,6880
"De 40 a 44 años (007)",1379,1353,50,88,148,189,386,279,154,59,26,6370
"De 45 a 49 años (008)",1164,1153,30,61,98,148,308,250,180,78,11,6043
"De 50 y más años (009)",4668,4615,214,263,301,344,883,1028,829,753,53,28020
"Conviviente (010)",6401,6292,347,1057,1116,899,1329,761,496,287,109,24076
"De 12 a 14 años (011)",24,14,10,3,1,,,,,,10,5
"De 15 a 19 años (012)",446,400,134,213,44,7,2,,,,46,330
"De 20 a 24 años (013)",1018,996,84,424,336,118,33,1,,,22,1592
"De 25 a 29 años (014)",1022,1013,37,201,320,227,202,26,,,9,2549
"De 30 a 34 años (015)",928,918,23,104,189,200,286,95,20,1,10,3109
"De 35 a 39 años (016)",866,863,16,39,106,146,302,163,71,20,3,3897
"De 40 a 44 años (017)",581,578,15,28,43,70,167,141,87,27,3,2978
"De 45 a 49 años (018)",453,450,4,10,26,52,128,107,83,40,3,2609
"De 50 y más años (019)",1063,1060,24,35,51,79,209,228,235,199,3,7007
"Separado(a) (020)",746,741,6,232,194,96,110,68,27,8,5,2127
"De 15 a 19 años (022)",37,36,2,27,6,1,,,,,1,42
"De 20 a 24 años (023)",86,84,,60,18,6,,,,,2,114
