"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia CARABAYA (000)",68596,3829,9317,9580,7717,12607,9621,12334,3591
"Sin nivel (001)",11912,3829,1277,67,92,445,743,3244,2215
"Educación inicial (002)",1887,,1832,16,5,12,22,,
"Primaria (003)",32336,,6208,7026,1633,4458,5102,6652,1257
"Secundaria (004)",19037,,,2471,5803,6259,2693,1725,86
"Superior no univ. incompleto (005)",984,,,,114,522,218,124,6
"Superior no univ. completo (006)",862,,,,,329,334,193,6
"Superior univ. incompleto (007)",613,,,,70,312,132,95,4
"Superior univ. completo (008)",965,,,,,270,377,301,17
"Hombres (010)",35653,1991,4761,5042,4035,6428,5019,6582,1795
"Sin nivel (011)",4272,1991,665,26,24,101,142,637,686
"Educación inicial (012)",935,,921,6,,2,6,,
"Primaria (013)",16458,,3175,3647,644,1708,2251,4021,1012
"Secundaria (014)",11747,,,1363,3279,3790,1905,1343,67
"Superior no univ. incompleto (015)",623,,,,51,308,157,101,6
"Superior no univ. completo (016)",554,,,,,180,209,160,5
"Superior univ. incompleto (017)",401,,,,37,181,99,80,4
"Superior univ. completo (018)",663,,,,,158,250,240,15
"Mujeres (020)",32943,1838,4556,4538,3682,6179,4602,5752,1796
"Sin nivel (021)",7640,1838,612,41,68,344,601,2607,1529
"Educación inicial (022)",952,,911,10,5,10,16,,
"Primaria (023)",15878,,3033,3379,989,2750,2851,2631,245
"Secundaria (024)",7290,,,1108,2524,2469,788,382,19
"Superior no univ. incompleto (025)",361,,,,63,214,61,23,
"Superior no univ. completo (026)",308,,,,,149,125,33,1
"Superior univ. incompleto (027)",212,,,,33,131,33,15,
"Superior univ. completo (028)",302,,,,,112,127,61,2
,,,,,,,,,
"URBANA (030)",28137,1557,3907,4212,3264,4998,4099,4814,1286
"Sin nivel (031)",4004,1557,305,25,17,124,207,1005,764
"Educación inicial (032)",862,,838,10,2,6,6,,
"Primaria (033)",11860,,2764,2888,390,1309,1784,2281,444
"Secundaria (034)",8923,,,1289,2719,2565,1321,976,53
"Superior no univ. incompleto (035)",645,,,,74,337,147,83,4
