"CUADRO Nº 2: VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia AYABACA (000)",33225,4083,29142
"Casa independiente (001)",32472,4000,28472
"Departamento en edificio (002)",2,2,
"Vivienda en quinta (003)",31,31,
"Vivienda en casa de vecindad (004)",30,30,
"Choza o cabaña (005)",653,,653
"Vivienda improvisada (006)",17,17,
"Local no dest.para hab. humana (007)",17,,17
"Otro tipo (008)",3,3,
