"CUADRO Nº 1: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELIGIÓN QUE PROFESA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELIGIÓN QUE PROFESA",TOTAL,"GRUPOS DE EDAD",,,,,
,,"12 A 16 AÑOS","17 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A MÁS AÑOS"
,,,,,,,
"Provincia ASUNCION (000)",6543,1119,1060,1116,1001,707,1540
"Católica (001)",6011,1038,994,1040,910,626,1403
"Cristiana/Evangélica (002)",506,79,61,73,88,70,135
"Otra (003)",9,,1,,2,5,1
"Ninguna (004)",17,2,4,3,1,6,1
"Hombres (006)",3076,562,535,522,480,326,651
"Católica (007)",2832,531,507,489,434,283,588
"Cristiana/Evangélica (008)",227,30,24,32,44,35,62
"Otra (009)",5,,,,1,3,1
"Ninguna (010)",12,1,4,1,1,5,
"Mujeres (012)",3467,557,525,594,521,381,889
"Católica (013)",3179,507,487,551,476,343,815
"Cristiana/Evangélica (014)",279,49,37,41,44,35,73
"Otra (015)",4,,1,,1,2,
"Ninguna (016)",5,1,,2,,1,1
,,,,,,,
"URBANA (018)",1581,239,229,411,318,148,236
"Católica (019)",1493,226,219,395,307,132,214
"Cristiana/Evangélica (020)",75,11,5,14,11,13,21
"Otra (021)",3,,1,,,1,1
"Ninguna (022)",10,2,4,2,,2,
"Hombres (024)",778,129,120,188,155,81,105
"Católica (025)",741,125,114,182,152,74,94
"Cristiana/Evangélica (026)",29,3,2,6,3,5,10
"Otra (027)",1,,,,,,1
"Ninguna (028)",7,1,4,,,2,
"Mujeres (030)",803,110,109,223,163,67,131
"Católica (031)",752,101,105,213,155,58,120
"Cristiana/Evangélica (032)",46,8,3,8,8,8,11
"Otra (033)",2,,1,,,1,
"Ninguna (034)",3,1,,2,,,
,,,,,,,
"RURAL (036)",4962,880,831,705,683,559,1304
"Católica (037)",4518,812,775,645,603,494,1189
"Cristiana/Evangélica (038)",431,68,56,59,77,57,114
"Otra (039)",6,,,,2,4,
"Ninguna (040)",7,,,1,1,4,1
"Hombres (042)",2298,433,415,334,325,245,546
"Católica (043)",2091,406,393,307,282,209,494
"Cristiana/Evangélica (044)",198,27,22,26,41,30,52
"Otra (045)",4,,,,1,3,
"Ninguna (046)",5,,,1,1,3,
"Mujeres (048)",2664,447,416,371,358,314,758
"Católica (049)",2427,406,382,338,321,285,695
"Cristiana/Evangélica (050)",233,41,34,33,36,27,62
"Otra (051)",2,,,,1,1,
"Ninguna (052)",2,,,,,1,1
