"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia TAHUAMANU (000)",9086,6423,2663
"Casa independiente (001)",7194,5477,1717
"Vivienda en quinta (003)",63,63,
"Vivienda en casa de vecindad (004)",829,829,
"Choza o cabaña (005)",946,,946
"Vivienda improvisada (006)",36,36,
"Local no dest.para hab. humana (007)",14,14,
"Otro tipo (008)",4,4,
