"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia HUANUCO (000)",60978,267068,36687,161416,24291,105652
"Casa independiente (001)",54643,243473,32557,147181,22086,96292
"Departamento en edificio (002)",1812,6038,1812,6038,,
"Vivienda en quinta (003)",982,3558,982,3558,,
"Vivienda en casa de vecindad (004)",1259,4411,1259,4411,,
"Choza o cabaña (005)",2198,9346,,,2198,9346
"Vivienda improvisada (006)",20,47,20,47,,
"Local no dest.para hab. humana (007)",61,187,55,176,6,11
"Otro tipo (008)",3,8,2,5,1,3
