"CUADRO Nº 39: POBLACIÓN ECONÓMICAMENTE INACTIVA DE 6 Y MÁS AÑOS , POR ACTIVIDAD NO LABORAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"ACTIVIDAD NO LABORAL",,,,,,,,
,,"ESTUDIANDO Y NO TRABAJO","VIVIENDO DE SU PENSIÓN Y JUBILACIÓN","VIVIENDO DE SUS RENTAS","AL CUIDADO DE SU HOGAR","POR SU EDAD","DE VIAJE",DISCAPACITADO,"SERVICIO MILITAR",OTRA
,,,,,,,,,,
"Provincia SAN MARTIN (000)",73159,37649,1370,847,29557,1106,69,160,439,1962
"Hombres (001)",26978,18919,812,382,4732,508,44,90,408,1083
"Mujeres (002)",46181,18730,558,465,24825,598,25,70,31,879
"De 06 a 14 años (003)",26967,25221,,,955,406,3,13,,369
"Hombres (004)",13484,12683,,,392,213,2,8,,186
"Mujeres (005)",13483,12538,,,563,193,1,5,,183
"De 15 a 29 años (006)",23563,12131,34,191,10101,,27,37,438,604
"Hombres (007)",8483,6105,16,69,1534,,18,19,407,315
"Mujeres (008)",15080,6026,18,122,8567,,9,18,31,289
"De 30 a 44 años (009)",9573,208,44,160,8745,,19,26,1,370
"Hombres (010)",1488,88,25,65,1045,,14,17,1,233
"Mujeres (011)",8085,120,19,95,7700,,5,9,,137
"De 45 a 64 años (012)",7711,77,592,229,6472,8,17,34,,282
"Hombres (013)",1666,38,322,117,980,1,9,24,,175
"Mujeres (014)",6045,39,270,112,5492,7,8,10,,107
"De 65 y más años (015)",5345,12,700,267,3284,692,3,50,,337
"Hombres (016)",1857,5,449,131,781,294,1,22,,174
"Mujeres (017)",3488,7,251,136,2503,398,2,28,,163
,,,,,,,,,,
"AREA URBANA (018)",66850,34616,1361,820,26797,941,66,147,300,1802
"Hombres (019)",24701,17304,806,370,4419,423,42,82,269,986
"Mujeres (020)",42149,17312,555,450,22378,518,24,65,31,816
"De 06 a 14 años (021)",24040,22593,,,830,281,2,13,,321
"Hombres (022)",11996,11327,,,348,146,1,8,,166
"Mujeres (023)",12044,11266,,,482,135,1,5,,155
"De 15 a 29 años (024)",21866,11734,33,180,8988,,27,34,299,571
"Hombres (025)",7972,5850,16,66,1442,,18,17,268,295
"Mujeres (026)",13894,5884,17,114,7546,,9,17,31,276
"De 30 a 44 años (027)",8766,204,44,154,7972,,19,23,1,349
"Hombres (028)",1393,86,25,63,971,,14,17,1,216
"Mujeres (029)",7373,118,19,91,7001,,5,6,,133
"De 45 a 64 años (030)",7143,73,585,226,5954,8,16,30,,251
"Hombres (031)",1558,36,317,116,906,1,8,20,,154
"Mujeres (032)",5585,37,268,110,5048,7,8,10,,97
"De 65 y más años (033)",5035,12,699,260,3053,652,2,47,,310
"Hombres (034)",1782,5,448,125,752,276,1,20,,155
"Mujeres (035)",3253,7,251,135,2301,376,1,27,,155
,,,,,,,,,,
"AREA RURAL (036)",6309,3033,9,27,2760,165,3,13,139,160
"Hombres (037)",2277,1615,6,12,313,85,2,8,139,97
"Mujeres (038)",4032,1418,3,15,2447,80,1,5,,63
"De 06 a 14 años (039)",2927,2628,,,125,125,1,,,48
"Hombres (040)",1488,1356,,,44,67,1,,,20
"Mujeres (041)",1439,1272,,,81,58,,,,28
"De 15 a 29 años (042)",1697,397,1,11,1113,,,3,139,33
"Hombres (043)",511,255,,3,92,,,2,139,20
"Mujeres (044)",1186,142,1,8,1021,,,1,,13
"De 30 a 44 años (045)",807,4,,6,773,,,3,,21
"Hombres (046)",95,2,,2,74,,,,,17
"Mujeres (047)",712,2,,4,699,,,3,,4
"De 45 a 64 años (048)",568,4,7,3,518,,1,4,,31
"Hombres (049)",108,2,5,1,74,,1,4,,21
"Mujeres (050)",460,2,2,2,444,,,,,10
"De 65 y más años (051)",310,,1,7,231,40,1,3,,27
"Hombres (052)",75,,1,6,29,18,,2,,19
"Mujeres (053)",235,,,1,202,22,1,1,,8
