"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia MAYNAS (000)",454800,24853,52278,56472,57352,88309,62921,91528,21087
"Sin nivel (001)",39488,24853,5417,466,396,799,991,3210,3356
"Educación inicial (002)",12022,,11471,285,74,114,78,,
"Primaria (003)",158122,,35390,37684,10270,14800,14848,32484,12646
"Secundaria (004)",171639,,,18037,41598,45959,28788,33964,3293
"Superior no univ. incompleto (005)",17366,,,,2544,7973,3494,3118,237
"Superior no univ. completo (006)",18089,,,,,5995,5570,6024,500
"Superior univ. incompleto (007)",15996,,,,2470,7260,2675,3407,184
"Superior univ. completo (008)",22078,,,,,5409,6477,9321,871
"Hombres (010)",229097,12678,26604,28591,28810,43739,30960,47268,10447
"Sin nivel (011)",18246,12678,2736,232,180,341,341,899,839
"Educación inicial (012)",6152,,5882,139,33,60,38,,
"Primaria (013)",75402,,17986,19314,5022,6226,6104,14401,6349
"Secundaria (014)",89150,,,8906,21047,23354,14704,19091,2048
"Superior no univ. incompleto (015)",9498,,,,1346,4126,1949,1907,170
"Superior no univ. completo (016)",9364,,,,,3121,2872,3066,305
"Superior univ. incompleto (017)",9156,,,,1182,3909,1597,2330,138
"Superior univ. completo (018)",12129,,,,,2602,3355,5574,598
"Mujeres (020)",225703,12175,25674,27881,28542,44570,31961,44260,10640
"Sin nivel (021)",21242,12175,2681,234,216,458,650,2311,2517
"Educación inicial (022)",5870,,5589,146,41,54,40,,
"Primaria (023)",82720,,17404,18370,5248,8574,8744,18083,6297
"Secundaria (024)",82489,,,9131,20551,22605,14084,14873,1245
"Superior no univ. incompleto (025)",7868,,,,1198,3847,1545,1211,67
"Superior no univ. completo (026)",8725,,,,,2874,2698,2958,195
"Superior univ. incompleto (027)",6840,,,,1288,3351,1078,1077,46
"Superior univ. completo (028)",9949,,,,,2807,3122,3747,273
,,,,,,,,,
"URBANA (030)",364258,18470,38823,42936,46861,73463,51626,75182,16897
"Sin nivel (031)",26124,18470,2804,325,258,436,464,1347,2020
"Educación inicial (032)",9923,,9434,256,69,95,69,,
"Primaria (033)",106204,,26585,26483,5609,7663,8287,21575,10002
