"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia BAGUA (000)",24239,20587,1548,933,1171
"Agric., ganadería, caza y silvicultura (001)",14422,13562,706,126,28
"Pesca (002)",9,8,1,,
"Explotación de minas y canteras (003)",6,5,,,1
"Industrias manufactureras (004)",550,494,46,5,5
"Suministro de electricidad, gas y agua (005)",26,5,2,16,3
"Construcción (006)",555,413,95,37,10
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",2301,2172,108,19,2
"Venta, mant.y rep. veh.autom y motoc. (008)",243,222,19,,2
"Comercio al por mayor (009)",73,64,5,4,
"Comercio al por menor (010)",1985,1886,84,15,
"Hoteles y restaurantes (011)",647,606,37,4,
"Trans., almac. y comunicaciones (012)",1198,1034,79,49,36
"Intermediación financiera (013)",26,7,7,4,8
"Activid.inmobil., empres. y alquileres (014)",394,250,35,73,36
"Admin.pub. y defensa; p. segur soc.afil (015)",447,,,,447
"Enseñanza (016)",1546,476,296,470,304
"Servicios sociales y de salud (017)",362,77,20,22,243
"Otras activ. serv.comun.soc y personales (018)",403,305,46,33,19
"Hogares privados con servicio doméstico (019)",502,502,,,
"Actividad economica no especificada (021)",845,671,70,75,29
"Hombres (022)",17619,15116,1212,576,715
"Agric., ganadería, caza y silvicultura (023)",11892,11121,640,105,26
"Pesca (024)",9,8,1,,
"Explotación de minas y canteras (025)",6,5,,,1
"Industrias manufactureras (026)",435,389,37,4,5
"Suministro de electricidad, gas y agua (027)",24,5,2,14,3
"Construcción (028)",541,407,91,33,10
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",1313,1218,77,16,2
"Venta, mant.y rep. veh.autom y motoc. (030)",225,204,19,,2
"Comercio al por mayor (031)",44,35,5,4,
"Comercio al por menor (032)",1044,979,53,12,
"Hoteles y restaurantes (033)",152,138,13,1,
"Trans., almac. y comunicaciones (034)",1135,982,75,44,34
"Intermediación financiera (035)",17,5,5,2,5
"Activid.inmobil., empres. y alquileres (036)",285,177,30,54,24
"Admin.pub. y defensa; p. segur soc.afil (037)",313,,,,313
"Enseñanza (038)",767,226,155,225,161
"Servicios sociales y de salud (039)",168,45,7,13,103
"Otras activ. serv.comun.soc y personales (040)",214,140,37,22,15
"Hogares privados con servicio doméstico (041)",21,21,,,
"Actividad economica no especificada (043)",327,229,42,43,13
