"CUADRO Nº 12: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia VILCAS HUAMAN (000)",6650,63,178,448,838,1160,2184,1779
"De 12 a 14 años (001)",7,,,,,,,7
"De 15 a 19 años (002)",206,,,,,,120,86
"De 20 a 24 años (003)",565,,,,,,372,193
"De 25 a 29 años (004)",647,,,,,20,466,161
"De 30 a 34 años (005)",643,,,,,81,457,105
"De 35 a 39 años (006)",633,,,,7,158,371,97
"De 40 a 44 años (007)",614,,,,16,218,264,116
"De 45 a 49 años (008)",514,,,,62,251,111,90
"De 50 y más años (009)",2821,63,178,448,753,432,23,924
"PEA (010)",1185,3,15,56,120,235,427,329
"De 15 a 19 años (012)",22,,,,,,10,12
"De 20 a 24 años (013)",107,,,,,,62,45
"De 25 a 29 años (014)",130,,,,,3,82,45
"De 30 a 34 años (015)",141,,,,,21,90,30
"De 35 a 39 años (016)",162,,,,1,40,97,24
"De 40 a 44 años (017)",149,,,,5,56,60,28
"De 45 a 49 años (018)",103,,,,11,49,22,21
"De 50 y más años (019)",371,3,15,56,103,66,4,124
"Ocupada (020)",1153,3,15,56,120,226,416,317
"De 15 a 19 años (022)",20,,,,,,10,10
"De 20 a 24 años (023)",101,,,,,,60,41
"De 25 a 29 años (024)",126,,,,,3,80,43
"De 30 a 34 años (025)",135,,,,,21,86,28
"De 35 a 39 años (026)",160,,,,1,38,97,24
"De 40 a 44 años (027)",142,,,,5,53,57,27
"De 45 a 49 años (028)",100,,,,11,46,22,21
"De 50 y más años (029)",369,3,15,56,103,65,4,123
"Desocupada (030)",32,,,,,9,11,12
"De 15 a 19 años (032)",2,,,,,,,2
"De 20 a 24 años (033)",6,,,,,,2,4
"De 25 a 29 años (034)",4,,,,,,2,2
"De 30 a 34 años (035)",6,,,,,,4,2
"De 35 a 39 años (036)",2,,,,,2,,
"De 40 a 44 años (037)",7,,,,,3,3,1
"De 45 a 49 años (038)",3,,,,,3,,
"De 50 y más años (039)",2,,,,,1,,1
"No PEA (040)",5465,60,163,392,718,925,1757,1450
"De 12 a 14 años (041)",7,,,,,,,7
"De 15 a 19 años (042)",184,,,,,,110,74
"De 20 a 24 años (043)",458,,,,,,310,148
"De 25 a 29 años (044)",517,,,,,17,384,116
"De 30 a 34 años (045)",502,,,,,60,367,75
"De 35 a 39 años (046)",471,,,,6,118,274,73
"De 40 a 44 años (047)",465,,,,11,162,204,88
"De 45 a 49 años (048)",411,,,,51,202,89,69
"De 50 y más años (049)",2450,60,163,392,650,366,19,800
,,,,,,,,
"URBANA (060)",2137,19,54,109,243,373,631,708
"De 12 a 14 años (061)",4,,,,,,,4
