"CUADRO Nº 1: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELIGIÓN QUE PROFESA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELIGIÓN QUE PROFESA",TOTAL,"GRUPOS DE EDAD",,,,,
,,"12 A 16 AÑOS","17 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A MÁS AÑOS"
,,,,,,,
"Provincia AIJA (000)",5760,874,914,973,858,740,1401
"Católica (001)",5441,829,865,924,816,692,1315
"Cristiana/Evangélica (002)",278,32,41,42,38,45,80
"Otra (003)",26,6,6,6,3,1,4
"Ninguna (004)",15,7,2,1,1,2,2
"Hombres (006)",2856,447,458,498,425,361,667
"Católica (007)",2697,426,431,474,405,338,623
"Cristiana/Evangélica (008)",137,14,22,21,17,21,42
"Otra (009)",13,3,4,2,2,1,1
"Ninguna (010)",9,4,1,1,1,1,1
"Mujeres (012)",2904,427,456,475,433,379,734
"Católica (013)",2744,403,434,450,411,354,692
"Cristiana/Evangélica (014)",141,18,19,21,21,24,38
"Otra (015)",13,3,2,4,1,,3
"Ninguna (016)",6,3,1,,,1,1
,,,,,,,
"URBANA (018)",1907,251,257,320,290,259,530
"Católica (019)",1832,246,249,311,279,246,501
"Cristiana/Evangélica (020)",66,5,6,4,11,13,27
"Otra (021)",6,,1,4,,,1
"Ninguna (022)",3,,1,1,,,1
"Hombres (024)",934,126,127,152,144,120,265
"Católica (025)",896,125,122,148,138,115,248
"Cristiana/Evangélica (026)",33,1,4,2,6,5,15
"Otra (027)",3,,1,1,,,1
"Ninguna (028)",2,,,1,,,1
"Mujeres (030)",973,125,130,168,146,139,265
"Católica (031)",936,121,127,163,141,131,253
"Cristiana/Evangélica (032)",33,4,2,2,5,8,12
"Otra (033)",3,,,3,,,
"Ninguna (034)",1,,1,,,,
,,,,,,,
"RURAL (036)",3853,623,657,653,568,481,871
"Católica (037)",3609,583,616,613,537,446,814
"Cristiana/Evangélica (038)",212,27,35,38,27,32,53
"Otra (039)",20,6,5,2,3,1,3
"Ninguna (040)",12,7,1,,1,2,1
"Hombres (042)",1922,321,331,346,281,241,402
"Católica (043)",1801,301,309,326,267,223,375
"Cristiana/Evangélica (044)",104,13,18,19,11,16,27
"Otra (045)",10,3,3,1,2,1,
"Ninguna (046)",7,4,1,,1,1,
"Mujeres (048)",1931,302,326,307,287,240,469
"Católica (049)",1808,282,307,287,270,223,439
"Cristiana/Evangélica (050)",108,14,17,19,16,16,26
"Otra (051)",10,3,2,1,1,,3
"Ninguna (052)",5,3,,,,1,1
