"CUADRO Nº 9: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVIINCIA, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, CONDICION DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia CARHUAZ (000)",17287,46621,39803,,707,85.4,1.5
"De 12 a 14 años (001)",1559,4,3,,,75,
"De 15 a 19 años (002)",2276,270,261,79,96.7,29.3,
"De 20 a 24 años (003)",1904,1456,1426,207,97.9,14.2,
"De 25 a 29 años (004)",1653,2400,2319,138,96.6,5.8,
"De 30 a 34 años (005)",1523,3440,3285,138,95.5,4,
"De 35 a 39 años (006)",1452,4366,4093,101,93.7,2.3,
"De 40 a 44 años (007)",1256,4740,4290,38,90.5,0.8,
"De 45 a 49 años (008)",1090,4867,4302,6,88.4,0.1,
"De 50 y más años (009)",4574,25078,19824,,79,,
"PEA (010)",3516,8250,7371,130,89.3,1.6,
"De 12 a 14 años (011)",62,,,,,,
"De 15 a 19 años (012)",380,38,38,10,100,26.3,
"De 20 a 24 años (013)",441,234,231,31,98.7,13.2,
"De 25 a 29 años (014)",421,434,427,21,98.4,4.8,
"De 30 a 34 años (015)",415,749,725,35,96.8,4.7,
"De 35 a 39 años (016)",378,931,895,21,96.1,2.3,
"De 40 a 44 años (017)",341,1015,942,11,92.8,1.1,
"De 45 a 49 años (018)",293,1061,968,1,91.2,0.1,
"De 50 y más años (019)",785,3788,3145,,83,,
"Ocupada (020)",3342,8080,7214,126,89.3,1.6,
"De 12 a 14 años (021)",57,,,,,,
"De 15 a 19 años (022)",340,35,35,10,100,28.6,
"De 20 a 24 años (023)",402,223,220,31,98.7,13.9,
"De 25 a 29 años (024)",393,414,407,20,98.3,4.8,
"De 30 a 34 años (025)",389,720,697,33,96.8,4.6,
"De 35 a 39 años (026)",366,907,872,20,96.1,2.2,
"De 40 a 44 años (027)",334,997,926,11,92.9,1.1,
"De 45 a 49 años (028)",286,1045,955,1,91.4,0.1,
"De 50 y más años (029)",775,3739,3102,,83,,
"Desocupada (030)",174,170,157,4,92.4,2.4,
"De 12 a 14 años (031)",5,,,,,,
"De 15 a 19 años (032)",40,3,3,,100,,
"De 20 a 24 años (033)",39,11,11,,100,,
"De 25 a 29 años (034)",28,20,20,1,100,5,
"De 30 a 34 años (035)",26,29,28,2,96.6,6.9,
"De 35 a 39 años (036)",12,24,23,1,95.8,4.2,
"De 40 a 44 años (037)",7,18,16,,88.9,,
