"CUADRO Nº 8: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia ANDAHUAYLAS (000)",134315,7060,17351,19903,15697,20525,18337,25787,9655
"Sabe leer y escribir (001)",102631,,13115,19746,15484,19391,15643,16348,2904
"No sabe leer y escribir (002)",31684,7060,4236,157,213,1134,2694,9439,6751
"Hombres (004)",65311,3589,8836,10133,7906,9806,8673,12347,4021
"Sabe leer y escribir (005)",55183,,6671,10057,7846,9584,8276,10558,2191
"No sabe leer y escribir (006)",10128,3589,2165,76,60,222,397,1789,1830
"Mujeres (008)",69004,3471,8515,9770,7791,10719,9664,13440,5634
"Sabe leer y escribir (009)",47448,,6444,9689,7638,9807,7367,5790,713
"No sabe leer y escribir (010)",21556,3471,2071,81,153,912,2297,7650,4921
,,,,,,,,,
"URBANA (012)",60719,2962,7283,8489,7614,10124,9227,11529,3491
"Sabe leer y escribir (013)",51241,,5833,8444,7544,9901,8610,9213,1696
"No sabe leer y escribir (014)",9478,2962,1450,45,70,223,617,2316,1795
"Hombres (016)",29449,1496,3713,4245,3766,4759,4318,5688,1464
"Sabe leer y escribir (017)",26420,,2982,4227,3745,4713,4229,5370,1154
"No sabe leer y escribir (018)",3029,1496,731,18,21,46,89,318,310
"Mujeres (020)",31270,1466,3570,4244,3848,5365,4909,5841,2027
"Sabe leer y escribir (021)",24821,,2851,4217,3799,5188,4381,3843,542
"No sabe leer y escribir (022)",6449,1466,719,27,49,177,528,1998,1485
,,,,,,,,,
"RURAL (024)",73596,4098,10068,11414,8083,10401,9110,14258,6164
"Sabe leer y escribir (025)",51390,,7282,11302,7940,9490,7033,7135,1208
"No sabe leer y escribir (026)",22206,4098,2786,112,143,911,2077,7123,4956
"Hombres (028)",35862,2093,5123,5888,4140,5047,4355,6659,2557
"Sabe leer y escribir (029)",28763,,3689,5830,4101,4871,4047,5188,1037
"No sabe leer y escribir (030)",7099,2093,1434,58,39,176,308,1471,1520
"Mujeres (032)",37734,2005,4945,5526,3943,5354,4755,7599,3607
"Sabe leer y escribir (033)",22627,,3593,5472,3839,4619,2986,1947,171
"No sabe leer y escribir (034)",15107,2005,1352,54,104,735,1769,5652,3436
