"CUADRO Nº 5: POBLACIÓN TOTAL, POR TENENCIA DE PARTIDA DE NACIMIENTO OTORGADO POR EL REGISTRO CIVIL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,
,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE PARTIDA NACIMIENTO",,
,,"TIENE PARTIDA DE NACIMIENTO","NO TIENE PARTIDA DE NACIMIENTO","NO ESPECIFICADO"
,,,,
"Provincia AYMARAES (000)",29569,29205,261,103
"Hombres (001)",15073,14932,85,56
"Mujeres (002)",14496,14273,176,47
"Menores de 1 año (003)",508,437,49,22
"Hombres (004)",250,208,31,11
"Mujeres (005)",258,229,18,11
"De 1 a 5 años (006)",3279,3159,46,74
"Hombres (007)",1619,1557,20,42
"Mujeres (008)",1660,1602,26,32
"De 6 a 14 años (009)",6392,6390,1,1
"Hombres (010)",3307,3306,1,
"Mujeres (011)",3085,3084,,1
"De 15 a 29 años (012)",6022,6020,2,
"Hombres (013)",3232,3230,2,
"Mujeres (014)",2790,2790,,
"De 30 a 44 años (015)",5199,5190,7,2
"Hombres (016)",2774,2772,1,1
"Mujeres (017)",2425,2418,6,1
"De 45 a 64 años (018)",4701,4677,23,1
"Hombres (019)",2312,2305,6,1
"Mujeres (020)",2389,2372,17,
"De 65 a más años (021)",3468,3332,133,3
"Hombres (022)",1579,1554,24,1
"Mujeres (023)",1889,1778,109,2
,,,,
"URBANA (024)",12764,12642,88,34
"Hombres (025)",6310,6257,31,22
"Mujeres (026)",6454,6385,57,12
"Menores de 1 año (027)",217,188,18,11
"Hombres (028)",108,90,12,6
"Mujeres (029)",109,98,6,5
"De 1 a 5 años (030)",1404,1361,20,23
"Hombres (031)",687,659,12,16
"Mujeres (032)",717,702,8,7
"De 6 a 14 años (033)",2801,2801,,
"Hombres (034)",1453,1453,,
"Mujeres (035)",1348,1348,,
"De 15 a 29 años (036)",2661,2661,,
"Hombres (037)",1342,1342,,
"Mujeres (038)",1319,1319,,
"De 30 a 44 años (039)",2310,2308,2,
"Hombres (040)",1147,1147,,
"Mujeres (041)",1163,1161,2,
"De 45 a 64 años (042)",1975,1970,5,
"Hombres (043)",959,957,2,
"Mujeres (044)",1016,1013,3,
"De 65 a más años (045)",1396,1353,43,
"Hombres (046)",614,609,5,
"Mujeres (047)",782,744,38,
,,,,
"RURAL (048)",16805,16563,173,69
"Hombres (049)",8763,8675,54,34
"Mujeres (050)",8042,7888,119,35
"Menores de 1 año (051)",291,249,31,11
"Hombres (052)",142,118,19,5
"Mujeres (053)",149,131,12,6
"De 1 a 5 años (054)",1875,1798,26,51
"Hombres (055)",932,898,8,26
"Mujeres (056)",943,900,18,25
"De 6 a 14 años (057)",3591,3589,1,1
"Hombres (058)",1854,1853,1,
"Mujeres (059)",1737,1736,,1
"De 15 a 29 años (060)",3361,3359,2,
"Hombres (061)",1890,1888,2,
"Mujeres (062)",1471,1471,,
"De 30 a 44 años (063)",2889,2882,5,2
"Hombres (064)",1627,1625,1,1
"Mujeres (065)",1262,1257,4,1
"De 45 a 64 años (066)",2726,2707,18,1
"Hombres (067)",1353,1348,4,1
"Mujeres (068)",1373,1359,14,
"De 65 a más años (069)",2072,1979,90,3
"Hombres (070)",965,945,19,1
"Mujeres (071)",1107,1034,71,2
