"CUADRO Nº 19: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"CATEGORIA DE OCUPACION",,,,,,DESOCUPADO
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR",
,,,,,,,,
"Provincia CAJABAMBA (000)",22020,2206,3095,11633,146,3464,545,931
"Agric., ganadería, caza y silvicultura (001)",13639,10,1812,8802,73,2942,,
"Pesca (002)",1,,1,,,,,
"Explotación de minas y canteras (003)",304,5,253,37,4,5,,
"Industrias manufactureras (004)",768,10,208,506,12,32,,
"Suministro de electricidad, gas y agua (005)",22,4,11,7,,,,
"Construcción (006)",730,22,537,98,8,65,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",1520,191,13,1150,16,150,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",85,10,9,59,4,3,,
"Comercio al por mayor (009)",60,12,,43,3,2,,
"Comercio al por menor (010)",1375,169,4,1048,9,145,,
"Hoteles y restaurantes (011)",439,114,20,247,15,43,,
"Trans., almac. y comunicaciones (012)",451,125,85,222,8,11,,
"Intermediación financiera (013)",25,21,,4,,,,
"Activid.inmobil., empres. y alquileres (014)",160,110,11,35,3,1,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",232,161,71,,,,,
"Enseñanza (016)",1196,1069,,124,,3,,
"Servicios sociales y de salud (017)",204,164,3,36,1,,,
"Otras activ. serv.comun.soc y personales (018)",245,127,25,82,2,9,,
"Hogares privados con servicio doméstico (019)",545,,,,,,545,
"Actividad economica no especificada (021)",608,73,45,283,4,203,,
"Desocupado (022)",931,,,,,,,931
"Hombres (023)",17594,1184,2804,10054,123,2713,31,685
"Agric., ganadería, caza y silvicultura (024)",12737,9,1657,8451,72,2548,,
"Pesca (025)",1,,1,,,,,
"Explotación de minas y canteras (026)",280,4,232,36,4,4,,
"Industrias manufactureras (027)",573,7,167,373,10,16,,
"Suministro de electricidad, gas y agua (028)",21,3,11,7,,,,
"Construcción (029)",710,20,524,95,7,64,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (030)",798,111,13,617,11,46,,
"Venta, mant.y rep. veh.autom.y motoc. (031)",77,7,9,55,4,2,,
"Comercio al por mayor (032)",47,9,,35,3,,,
"Comercio al por menor (033)",674,95,4,527,4,44,,
"Hoteles y restaurantes (034)",99,29,12,46,5,7,,
"Trans., almac. y comunicaciones (035)",417,103,81,218,7,8,,
"Intermediación financiera (036)",13,9,,4,,,,
"Activid.inmobil., empres. y alquileres (037)",123,80,10,30,3,,,
"Admin.pub. y defensa; p. segur.soc.afil (038)",167,115,52,,,,,
"Enseñanza (039)",566,517,,47,,2,,
"Servicios sociales y de salud (040)",104,76,3,25,,,,
"Otras activ. serv.comun.soc y personales (041)",115,68,16,26,1,4,,
"Hogares privados con servicio doméstico (042)",31,,,,,,31,
"Actividad economica no especificada (044)",154,33,25,79,3,14,,
"Desocupado (045)",685,,,,,,,685
"Mujeres (046)",4426,1022,291,1579,23,751,514,246
"Agric., ganadería, caza y silvicultura (047)",902,1,155,351,1,394,,
"Explotación de minas y canteras (049)",24,1,21,1,,1,,
"Industrias manufactureras (050)",195,3,41,133,2,16,,
"Suministro de electricidad, gas y agua (051)",1,1,,,,,,
"Construcción (052)",20,2,13,3,1,1,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (053)",722,80,,533,5,104,,
"Venta, mant.y rep. veh.autom.y motoc. (054)",8,3,,4,,1,,
"Comercio al por mayor (055)",13,3,,8,,2,,
"Comercio al por menor (056)",701,74,,521,5,101,,
"Hoteles y restaurantes (057)",340,85,8,201,10,36,,
"Trans., almac. y comunicaciones (058)",34,22,4,4,1,3,,
"Intermediación financiera (059)",12,12,,,,,,
"Activid.inmobil., empres. y alquileres (060)",37,30,1,5,,1,,
"Admin.pub. y defensa; p. segur.soc.afil (061)",65,46,19,,,,,
"Enseñanza (062)",630,552,,77,,1,,
"Servicios sociales y de salud (063)",100,88,,11,1,,,
"Otras activ. serv.comun.soc y personales (064)",130,59,9,56,1,5,,
"Hogares privados con servicio doméstico (065)",514,,,,,,514,
"Actividad economica no especificada (067)",454,40,20,204,1,189,,
"Desocupado (068)",246,,,,,,,246
,,,,,,,,
"URBANA (069)",6142,1878,719,2564,67,353,273,288
"Agric., ganadería, caza y silvicultura (070)",1029,8,209,662,9,141,,
"Pesca (071)",1,,1,,,,,
"Explotación de minas y canteras (072)",95,5,72,17,1,,,
"Industrias manufactureras (073)",381,8,67,285,8,13,,
"Suministro de electricidad, gas y agua (074)",9,1,6,2,,,,
"Construcción (075)",303,21,218,52,4,8,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (076)",1203,172,9,888,16,118,,
"Venta, mant.y rep. veh.autom.y motoc. (077)",69,8,5,50,4,2,,
"Comercio al por mayor (078)",50,12,,33,3,2,,
"Comercio al por menor (079)",1084,152,4,805,9,114,,
"Hoteles y restaurantes (080)",322,81,5,194,12,30,,
"Trans., almac. y comunicaciones (081)",353,106,50,181,8,8,,
"Intermediación financiera (082)",23,19,,4,,,,
"Activid.inmobil., empres. y alquileres (083)",138,98,5,31,3,1,,
"Admin.pub. y defensa; p. segur.soc.afil (084)",171,143,28,,,,,
"Enseñanza (085)",983,901,,79,,3,,
"Servicios sociales y de salud (086)",175,145,1,28,1,,,
"Otras activ. serv.comun.soc y personales (087)",193,106,20,59,2,6,,
"Hogares privados con servicio doméstico (088)",273,,,,,,273,
"Actividad economica no especificada (090)",202,64,28,82,3,25,,
"Desocupado (091)",288,,,,,,,288
"Hombres (092)",3818,1010,645,1710,50,174,12,217
"Agric., ganadería, caza y silvicultura (093)",907,7,185,602,9,104,,
"Pesca (094)",1,,1,,,,,
"Explotación de minas y canteras (095)",92,4,71,16,1,,,
"Industrias manufactureras (096)",301,6,54,224,8,9,,
"Suministro de electricidad, gas y agua (097)",8,,6,2,,,,
"Construcción (098)",294,19,215,49,3,8,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (099)",623,101,9,469,11,33,,
"Venta, mant.y rep. veh.autom.y motoc. (100)",62,5,5,47,4,1,,
"Comercio al por mayor (101)",39,9,,27,3,,,
"Comercio al por menor (102)",522,87,4,395,4,32,,
"Hoteles y restaurantes (103)",74,24,3,38,5,4,,
"Trans., almac. y comunicaciones (104)",325,87,48,178,7,5,,
"Intermediación financiera (105)",12,8,,4,,,,
"Activid.inmobil., empres. y alquileres (106)",103,70,4,26,3,,,
"Admin.pub. y defensa; p. segur.soc.afil (107)",115,100,15,,,,,
"Enseñanza (108)",461,430,,29,,2,,
"Servicios sociales y de salud (109)",85,66,1,18,,,,
"Otras activ. serv.comun.soc y personales (110)",99,57,14,23,1,4,,
"Hogares privados con servicio doméstico (111)",12,,,,,,12,
"Actividad economica no especificada (113)",89,31,19,32,2,5,,
"Desocupado (114)",217,,,,,,,217
"Mujeres (115)",2324,868,74,854,17,179,261,71
"Agric., ganadería, caza y silvicultura (116)",122,1,24,60,,37,,
"Explotación de minas y canteras (118)",3,1,1,1,,,,
