"CUADRO Nº 31: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 14 Y MÁS AÑOS DE EDAD, POR OCUPACIÓN PRINCIPAL, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,,,,,
,,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"OCUPACION PRINCIPAL",,,,,,,,,,,DESOCU-PADO
,,"MIEMBROS PODER EJEC. Y LEGIS., DIRECT. ADM., PUB.Y EMP.","PROFES., CIENTÍFI-COS E INTELEC-TUALES","TÉCNICOS DE NIVEL MEDIO Y TRABAJ. ASIMIL","JEFES Y EMPLEA-DOS DE OFICINA","TRAB. DE. SERV. PERS. Y VEND. DEL COMERCIO Y MCDO.","AGRICULT. TRABAJ. CALIFICA-DO., AGROP. Y PESQUE-ROS.","OBREROS Y OPER. MINAS, CANTERAS, IND. MANUF. Y OTROS","OBR. CONST. CONF. PAPEL Y CARTÓN, FAB. INSTR. MUSI-CALES. Y AFINES","TRABAJ. NO CALIF. SERV. PEON, VEND. AMBU-LANTE Y AFINES",OTRA,"OCUPA-CIÓN NO ESPECI-FICADA",
,,,,,,,,,,,,,
"Provincia CARHUAZ (000)",13641,49,682,250,274,1094,5009,593,786,3705,33,294,872
"Agric., ganadería, caza y silvicultura (001)",7348,,8,4,1,,5009,,2,2324,,,
"Pesca (002)",4,,,,,,,,,4,,,
"Explotación de minas y canteras (003)",145,,10,4,2,,,66,5,58,,,
"Industrias manufactureras (004)",457,,5,7,7,6,,416,9,7,,,
"Suministro de electricidad, gas y agua (005)",11,,,,2,,,3,1,5,,,
"Construcción (006)",537,,14,9,3,,,12,267,232,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (007)",1234,,7,24,2,827,,83,9,282,,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",84,,1,4,,13,,59,7,,,,
"Comercio al por mayor (009)",53,,1,3,,44,,,2,3,,,
"Comercio al por menor (010)",1097,,5,17,2,770,,24,,279,,,
"Hoteles y restaurantes (011)",350,,4,7,7,209,,1,,122,,,
"Trans., almac. y comunicaciones (012)",595,,1,9,14,5,,2,457,107,,,
"Intermediación financiera (013)",4,,1,,3,,,,,,,,
"Activid.inmobil., empres. y alquileres (014)",202,,52,43,43,14,,1,11,38,,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",396,41,28,22,140,5,,3,16,108,33,,
"Enseñanza (016)",508,8,468,1,22,,,,,9,,,
"Servicios sociales y de salud (017)",124,,46,60,7,3,,2,3,3,,,
"Otras activ. serv.comun.soc y personales (018)",245,,38,59,17,25,,4,6,96,,,
"Hogares privados con servicio doméstico (019)",310,,,,,,,,,310,,,
"Actividad economica no especificada (021)",299,,,1,4,,,,,,,294,
"Desocupado (022)",872,,,,,,,,,,,,872
"Hombres (023)",10158,41,391,174,163,411,4524,500,773,2357,33,91,700
"Agric., ganadería, caza y silvicultura (024)",6158,,8,4,,,4524,,2,1620,,,
"Pesca (025)",4,,,,,,,,,4,,,
"Explotación de minas y canteras (026)",139,,10,4,1,,,63,5,56,,,
"Industrias manufactureras (027)",359,,2,5,6,4,,329,6,7,,,
"Suministro de electricidad, gas y agua (028)",10,,,,2,,,3,1,4,,,
"Construcción (029)",518,,12,9,3,,,11,263,220,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (030)",552,,7,19,1,315,,81,9,120,,,
"Venta, mant.y rep. veh.autom.y motoc. (031)",75,,1,4,,6,,57,7,,,,
"Comercio al por mayor (032)",32,,1,2,,26,,,2,1,,,
"Comercio al por menor (033)",445,,5,13,1,283,,24,,119,,,
"Hoteles y restaurantes (034)",109,,3,2,4,64,,1,,35,,,
"Trans., almac. y comunicaciones (035)",566,,,5,7,5,,2,452,95,,,
"Intermediación financiera (036)",3,,1,,2,,,,,,,,
"Activid.inmobil., empres. y alquileres (037)",155,,36,34,28,14,,1,11,31,,,
"Admin.pub. y defensa; p. segur.soc.afil (038)",295,35,17,11,82,5,,3,15,94,33,,
"Enseñanza (039)",271,6,242,1,15,,,,,7,,,
"Servicios sociales y de salud (040)",56,,18,25,4,1,,2,3,3,,,
"Otras activ. serv.comun.soc y personales (041)",164,,35,54,7,3,,4,6,55,,,
"Hogares privados con servicio doméstico (042)",6,,,,,,,,,6,,,
"Actividad economica no especificada (044)",93,,,1,1,,,,,,,91,
"Desocupado (045)",700,,,,,,,,,,,,700
"Mujeres (046)",3483,8,291,76,111,683,485,93,13,1348,,203,172
"Agric., ganadería, caza y silvicultura (047)",1190,,,,1,,485,,,704,,,
"Explotación de minas y canteras (049)",6,,,,1,,,3,,2,,,
"Industrias manufactureras (050)",98,,3,2,1,2,,87,3,,,,
"Suministro de electricidad, gas y agua (051)",1,,,,,,,,,1,,,
"Construcción (052)",19,,2,,,,,1,4,12,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (053)",682,,,5,1,512,,2,,162,,,
"Venta, mant.y rep. veh.autom.y motoc. (054)",9,,,,,7,,2,,,,,
"Comercio al por mayor (055)",21,,,1,,18,,,,2,,,
"Comercio al por menor (056)",652,,,4,1,487,,,,160,,,
"Hoteles y restaurantes (057)",241,,1,5,3,145,,,,87,,,
"Trans., almac. y comunicaciones (058)",29,,1,4,7,,,,5,12,,,
"Intermediación financiera (059)",1,,,,1,,,,,,,,
"Activid.inmobil., empres. y alquileres (060)",47,,16,9,15,,,,,7,,,
"Admin.pub. y defensa; p. segur.soc.afil (061)",101,6,11,11,58,,,,1,14,,,
"Enseñanza (062)",237,2,226,,7,,,,,2,,,
"Servicios sociales y de salud (063)",68,,28,35,3,2,,,,,,,
"Otras activ. serv.comun.soc y personales (064)",81,,3,5,10,22,,,,41,,,
"Hogares privados con servicio doméstico (065)",304,,,,,,,,,304,,,
"Actividad economica no especificada (067)",206,,,,3,,,,,,,203,
"Desocupado (068)",172,,,,,,,,,,,,172
,,,,,,,,,,,,,
"URBANA (069)",5494,30,534,168,187,801,1100,359,466,1371,29,155,294
"Agric., ganadería, caza y silvicultura (070)",1787,,6,3,1,,1100,,1,676,,,
"Explotación de minas y canteras (072)",56,,7,4,1,,,17,3,24,,,
"Industrias manufactureras (073)",290,,5,6,7,6,,259,5,2,,,
"Suministro de electricidad, gas y agua (074)",3,,,,,,,1,,2,,,
"Construcción (075)",254,,13,6,,,,7,150,78,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (076)",873,,5,19,1,614,,64,4,166,,,
"Venta, mant.y rep. veh.autom.y motoc. (077)",61,,,4,,9,,44,4,,,,
"Comercio al por mayor (078)",31,,1,2,,26,,,,2,,,
"Comercio al por menor (079)",781,,4,13,1,579,,20,,164,,,
"Hoteles y restaurantes (080)",260,,4,4,4,148,,1,,99,,,
"Trans., almac. y comunicaciones (081)",358,,1,7,10,,,2,279,59,,,
"Intermediación financiera (082)",3,,1,,2,,,,,,,,
"Activid.inmobil., empres. y alquileres (083)",143,,47,29,29,6,,1,8,23,,,
"Admin.pub. y defensa; p. segur.soc.afil (084)",248,22,24,18,103,4,,3,10,35,29,,
"Enseñanza (085)",381,8,362,1,9,,,,,1,,,
"Servicios sociales y de salud (086)",86,,37,39,5,1,,,2,2,,,
"Otras activ. serv.comun.soc y personales (087)",151,,22,31,12,22,,4,4,56,,,
"Hogares privados con servicio doméstico (088)",148,,,,,,,,,148,,,
"Actividad economica no especificada (090)",159,,,1,3,,,,,,,155,
"Desocupado (091)",294,,,,,,,,,,,,294
"Hombres (092)",3639,24,299,113,102,298,953,297,458,781,29,55,230
"Agric., ganadería, caza y silvicultura (093)",1423,,6,3,,,953,,1,460,,,
"Explotación de minas y canteras (095)",53,,7,4,,,,17,3,22,,,
"Industrias manufactureras (096)",220,,2,4,6,4,,199,3,2,,,
"Suministro de electricidad, gas y agua (097)",2,,,,,,,1,,1,,,
"Construcción (098)",248,,11,6,,,,7,147,77,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (099)",381,,5,14,1,233,,62,4,62,,,
"Venta, mant.y rep. veh.autom.y motoc. (100)",53,,,4,,3,,42,4,,,,
"Comercio al por mayor (101)",21,,1,1,,18,,,,1,,,
"Comercio al por menor (102)",307,,4,9,1,212,,20,,61,,,
"Hoteles y restaurantes (103)",78,,3,,2,48,,1,,24,,,
"Trans., almac. y comunicaciones (104)",338,,,5,4,,,2,277,50,,,
"Intermediación financiera (105)",2,,1,,1,,,,,,,,
"Activid.inmobil., empres. y alquileres (106)",107,,33,24,17,6,,1,8,18,,,
"Admin.pub. y defensa; p. segur.soc.afil (107)",170,18,15,9,59,4,,3,9,24,29,,
"Enseñanza (108)",195,6,183,1,4,,,,,1,,,
"Servicios sociales y de salud (109)",36,,14,15,3,,,,2,2,,,
"Otras activ. serv.comun.soc y personales (110)",95,,19,27,5,3,,4,4,33,,,
"Hogares privados con servicio doméstico (111)",5,,,,,,,,,5,,,
"Actividad economica no especificada (113)",56,,,1,,,,,,,,55,
"Desocupado (114)",230,,,,,,,,,,,,230
"Mujeres (115)",1855,6,235,55,85,503,147,62,8,590,,100,64
"Agric., ganadería, caza y silvicultura (116)",364,,,,1,,147,,,216,,,
"Explotación de minas y canteras (118)",3,,,,1,,,,,2,,,
"Industrias manufactureras (119)",70,,3,2,1,2,,60,2,,,,
"Suministro de electricidad, gas y agua (120)",1,,,,,,,,,1,,,
"Construcción (121)",6,,2,,,,,,3,1,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (122)",492,,,5,,381,,2,,104,,,
"Venta, mant.y rep. veh.autom.y motoc. (123)",8,,,,,6,,2,,,,,
"Comercio al por mayor (124)",10,,,1,,8,,,,1,,,
"Comercio al por menor (125)",474,,,4,,367,,,,103,,,
"Hoteles y restaurantes (126)",182,,1,4,2,100,,,,75,,,
"Trans., almac. y comunicaciones (127)",20,,1,2,6,,,,2,9,,,
"Intermediación financiera (128)",1,,,,1,,,,,,,,
"Activid.inmobil., empres. y alquileres (129)",36,,14,5,12,,,,,5,,,
"Admin.pub. y defensa; p. segur.soc.afil (130)",78,4,9,9,44,,,,1,11,,,
"Enseñanza (131)",186,2,179,,5,,,,,,,,
"Servicios sociales y de salud (132)",50,,23,24,2,1,,,,,,,
"Otras activ. serv.comun.soc y personales (133)",56,,3,4,7,19,,,,23,,,
"Hogares privados con servicio doméstico (134)",143,,,,,,,,,143,,,
"Actividad economica no especificada (136)",103,,,,3,,,,,,,100,
"Desocupado (137)",64,,,,,,,,,,,,64
,,,,,,,,,,,,,
"RURAL (138)",8147,19,148,82,87,293,3909,234,320,2334,4,139,578
"Agric., ganadería, caza y silvicultura (139)",5561,,2,1,,,3909,,1,1648,,,
"Pesca (140)",4,,,,,,,,,4,,,
"Explotación de minas y canteras (141)",89,,3,,1,,,49,2,34,,,
"Industrias manufactureras (142)",167,,,1,,,,157,4,5,,,
"Suministro de electricidad, gas y agua (143)",8,,,,2,,,2,1,3,,,
"Construcción (144)",283,,1,3,3,,,5,117,154,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (145)",361,,2,5,1,213,,19,5,116,,,
"Venta, mant.y rep. veh.autom.y motoc. (146)",23,,1,,,4,,15,3,,,,
"Comercio al por mayor (147)",22,,,1,,18,,,2,1,,,
"Comercio al por menor (148)",316,,1,4,1,191,,4,,115,,,
"Hoteles y restaurantes (149)",90,,,3,3,61,,,,23,,,
