"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia SANTIAGO DE CHUCO (000)",53952,3079,7133,7634,5551,8608,7611,10286,4050
"Sin nivel (001)",11112,3079,1445,105,205,532,1093,2538,2115
"Educación inicial (002)",1190,,1151,19,2,11,7,,
"Primaria (003)",26415,,4537,5766,2076,3858,3386,5108,1684
"Secundaria (004)",9662,,,1744,2952,2182,1415,1271,98
"Superior no univ. incompleto (005)",1540,,,,281,678,338,214,29
"Superior no univ. completo (006)",2308,,,,,925,744,579,60
"Superior univ. incompleto (007)",500,,,,35,156,163,136,10
"Superior univ. completo (008)",1225,,,,,266,465,440,54
"Hombres (010)",27559,1542,3535,3909,2801,4575,4072,5246,1879
"Sin nivel (011)",3912,1542,705,49,59,138,304,588,527
"Educación inicial (012)",587,,565,12,,6,4,,
"Primaria (013)",13565,,2265,2931,918,1799,1662,2811,1179
"Secundaria (014)",5883,,,917,1677,1370,965,884,70
"Superior no univ. incompleto (015)",926,,,,131,386,231,160,18
"Superior no univ. completo (016)",1568,,,,,616,504,405,43
"Superior univ. incompleto (017)",325,,,,16,93,109,101,6
"Superior univ. completo (018)",793,,,,,167,293,297,36
"Mujeres (020)",26393,1537,3598,3725,2750,4033,3539,5040,2171
"Sin nivel (021)",7200,1537,740,56,146,394,789,1950,1588
"Educación inicial (022)",603,,586,7,2,5,3,,
"Primaria (023)",12850,,2272,2835,1158,2059,1724,2297,505
"Secundaria (024)",3779,,,827,1275,812,450,387,28
"Superior no univ. incompleto (025)",614,,,,150,292,107,54,11
"Superior no univ. completo (026)",740,,,,,309,240,174,17
"Superior univ. incompleto (027)",175,,,,19,63,54,35,4
"Superior univ. completo (028)",432,,,,,99,172,143,18
,,,,,,,,,
"URBANA (030)",18605,951,2233,2667,2022,2993,2771,3700,1268
"Sin nivel (031)",2777,951,274,34,51,96,271,595,505
"Educación inicial (032)",515,,496,10,1,5,3,,
"Primaria (033)",6869,,1463,1715,297,673,737,1424,560
"Secundaria (034)",4861,,,908,1436,996,715,731,75
"Superior no univ. incompleto (035)",1040,,,,210,451,209,146,24
