"CUADRO Nº 4: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia MARISCAL CACERES (000)",12700,12216,62,2299,2624,2128,2652,1404,749,298,484,44159
"De 12 a 14 años (001)",38,20,,18,2,,,,,,18,22
"De 15 a 19 años (002)",720,632,6,507,110,8,1,,,,88,755
"De 20 a 24 años (003)",1539,1392,11,733,475,136,34,3,,,147,2253
"De 25 a 29 años (004)",1724,1612,10,432,627,349,182,10,2,,112,3578
"De 30 a 34 años (005)",1664,1632,6,234,494,428,405,58,6,1,32,4664
"De 35 a 39 años (006)",1601,1575,6,123,351,433,468,164,24,6,26,5487
"De 40 a 44 años (007)",1339,1328,8,82,221,298,426,210,61,22,11,5390
"De 45 a 49 años (008)",1076,1070,3,54,118,195,356,228,89,27,6,4956
"De 50 y más años (009)",2999,2955,12,116,226,281,780,731,567,242,44,17054
"Sin nivel (010)",1177,1145,2,62,100,136,298,272,182,93,32,6325
"De 15 a 19 años (012)",16,16,,11,5,,,,,,,21
"De 20 a 24 años (013)",37,32,,9,13,7,3,,,,5,69
"De 25 a 29 años (014)",74,70,,12,23,20,13,2,,,4,185
"De 30 a 34 años (015)",97,96,,6,13,25,41,8,2,1,1,357
"De 35 a 39 años (016)",115,108,,3,10,18,42,32,2,1,7,490
"De 40 a 44 años (017)",97,94,,3,4,6,40,26,10,5,3,519
"De 45 a 49 años (018)",130,129,,5,5,11,43,33,22,10,1,755
"De 50 y más años (019)",611,600,2,13,27,49,116,171,146,76,11,3929
"Educacion Inicial (020)",16,15,,4,6,1,3,1,,,1,37
"De 15 a 19 años (022)",2,2,,1,1,,,,,,,3
"De 20 a 24 años (023)",3,2,,,2,,,,,,1,4
"De 25 a 29 años (024)",3,3,,1,2,,,,,,,5
