"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia UTCUBAMBA (000)",35569,29905,2345,1153,2166
"Agric., ganadería, caza y silvicultura (001)",23131,21327,1360,378,66
"Pesca (002)",5,5,,,
"Explotación de minas y canteras (003)",50,2,,3,45
"Industrias manufactureras (004)",840,730,57,35,18
"Suministro de electricidad, gas y agua (005)",30,9,,18,3
"Construcción (006)",847,629,106,88,24
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",3171,2965,144,52,10
"Venta, mant.y rep. veh.autom y motoc. (008)",337,304,24,4,5
"Comercio al por mayor (009)",194,148,27,14,5
"Comercio al por menor (010)",2640,2513,93,34,
"Hoteles y restaurantes (011)",917,831,71,11,4
"Trans., almac. y comunicaciones (012)",1692,1427,120,70,75
"Intermediación financiera (013)",38,6,8,11,13
"Activid.inmobil., empres. y alquileres (014)",393,240,40,50,63
"Admin.pub. y defensa; p. segur soc.afil (015)",968,,,,968
"Enseñanza (016)",1707,374,338,372,623
"Servicios sociales y de salud (017)",327,77,19,11,220
"Otras activ. serv.comun.soc y personales (018)",434,320,55,32,27
"Hogares privados con servicio doméstico (019)",529,529,,,
"Actividad economica no especificada (021)",490,434,27,22,7
"Hombres (022)",28964,24752,1935,846,1431
"Agric., ganadería, caza y silvicultura (023)",21263,19638,1242,335,48
"Pesca (024)",5,5,,,
"Explotación de minas y canteras (025)",46,1,,3,42
"Industrias manufactureras (026)",648,570,48,20,10
"Suministro de electricidad, gas y agua (027)",27,8,,16,3
"Construcción (028)",820,614,105,78,23
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",1813,1660,100,47,6
"Venta, mant.y rep. veh.autom y motoc. (030)",308,276,24,4,4
"Comercio al por mayor (031)",126,92,19,13,2
"Comercio al por menor (032)",1379,1292,57,30,
"Hoteles y restaurantes (033)",223,193,24,4,2
"Trans., almac. y comunicaciones (034)",1630,1379,114,63,74
"Intermediación financiera (035)",22,3,5,5,9
"Activid.inmobil., empres. y alquileres (036)",297,173,36,35,53
"Admin.pub. y defensa; p. segur soc.afil (037)",707,,,,707
"Enseñanza (038)",894,157,202,196,339
"Servicios sociales y de salud (039)",142,39,8,7,88
"Otras activ. serv.comun.soc y personales (040)",245,155,42,26,22
"Hogares privados con servicio doméstico (041)",37,37,,,
