"CUADRO Nº 8: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia HUAROCHIRI (000)",68838,2926,6453,7219,6575,13022,11047,15869,5727
"Sabe leer y escribir (001)",62930,,5109,7174,6529,12911,10884,15291,5032
"No sabe leer y escribir (002)",5908,2926,1344,45,46,111,163,578,695
"Hombres (004)",36420,1460,3265,3686,3422,7150,6019,8503,2915
"Sabe leer y escribir (005)",33945,,2591,3662,3399,7107,5970,8388,2828
"No sabe leer y escribir (006)",2475,1460,674,24,23,43,49,115,87
"Mujeres (008)",32418,1466,3188,3533,3153,5872,5028,7366,2812
"Sabe leer y escribir (009)",28985,,2518,3512,3130,5804,4914,6903,2204
"No sabe leer y escribir (010)",3433,1466,670,21,23,68,114,463,608
,,,,,,,,,
"URBANA (012)",46700,1994,4330,5074,4667,8452,7385,10835,3963
"Sabe leer y escribir (013)",42860,,3518,5044,4638,8383,7286,10482,3509
"No sabe leer y escribir (014)",3840,1994,812,30,29,69,99,353,454
"Hombres (016)",23850,1012,2182,2598,2388,4372,3786,5516,1996
"Sabe leer y escribir (017)",22222,,1775,2580,2371,4347,3758,5446,1945
"No sabe leer y escribir (018)",1628,1012,407,18,17,25,28,70,51
"Mujeres (020)",22850,982,2148,2476,2279,4080,3599,5319,1967
"Sabe leer y escribir (021)",20638,,1743,2464,2267,4036,3528,5036,1564
"No sabe leer y escribir (022)",2212,982,405,12,12,44,71,283,403
,,,,,,,,,
"RURAL (024)",22138,932,2123,2145,1908,4570,3662,5034,1764
"Sabe leer y escribir (025)",20070,,1591,2130,1891,4528,3598,4809,1523
"No sabe leer y escribir (026)",2068,932,532,15,17,42,64,225,241
"Hombres (028)",12570,448,1083,1088,1034,2778,2233,2987,919
"Sabe leer y escribir (029)",11723,,816,1082,1028,2760,2212,2942,883
"No sabe leer y escribir (030)",847,448,267,6,6,18,21,45,36
"Mujeres (032)",9568,484,1040,1057,874,1792,1429,2047,845
"Sabe leer y escribir (033)",8347,,775,1048,863,1768,1386,1867,640
"No sabe leer y escribir (034)",1221,484,265,9,11,24,43,180,205
