"CUADRO Nº 2: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia TAMBOPATA (000)",27095,26176,8163,4637,4141,2986,3529,1558,690,472,919,58534
"De 12 a 14 años (001)",2487,2458,2430,28,,,,,,,29,28
"De 15 a 19 años (002)",4341,4246,3396,715,118,11,6,,,,95,1008
"De 20 a 24 años (003)",4168,3832,1311,1641,688,160,28,4,,,336,3638
"De 25 a 29 años (004)",3641,3412,461,1093,1115,521,209,10,3,,229,5852
"De 30 a 34 años (005)",3013,2933,212,525,883,648,586,72,6,1,80,7246
"De 35 a 39 años (006)",2670,2619,128,297,578,628,753,206,27,2,51,8165
"De 40 a 44 años (007)",2124,2105,89,142,317,436,733,298,74,16,19,8015
"De 45 a 49 años (008)",1560,1546,43,82,211,273,478,297,130,32,14,6786
"De 50 y más años (009)",3091,3025,93,114,231,309,736,671,450,421,66,17796
"Conviviente (010)",11959,11672,1108,2983,2664,1808,1907,767,273,162,287,31105
"De 12 a 14 años (011)",52,26,12,14,,,,,,,26,14
"De 15 a 19 años (012)",1022,938,340,503,84,8,3,,,,84,707
"De 20 a 24 años (013)",2330,2249,361,1170,561,132,22,3,,,81,2797
"De 25 a 29 años (014)",2430,2384,193,737,855,422,166,9,2,,46,4482
"De 30 a 34 años (015)",1956,1939,73,299,588,464,446,63,5,1,17,5213
"De 35 a 39 años (016)",1537,1525,53,132,316,380,480,142,20,2,12,5093
"De 40 a 44 años (017)",1089,1084,33,68,119,215,396,189,52,12,5,4474
"De 45 a 49 años (018)",691,689,19,28,79,103,207,160,68,25,2,3288
"De 50 y más años (019)",852,838,24,32,62,84,187,201,126,122,14,5037
"Separado(a) (020)",1155,1133,20,321,243,178,203,101,45,22,22,3517
"De 12 a 14 años (021)",4,3,1,2,,,,,,,1,2
"De 15 a 19 años (022)",59,57,5,44,8,,,,,,2,60
