"CUADRO Nº 32: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR OCUPACIÓN PRINCIPAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"OCUPACION PRINCIPAL",,,,,,,,,,
,,"MIEMBROS PODER EJEC. Y LEGIS., DIRECT. ADM., PUB.Y EMP.","PROFES., CIENTÍFI-COS E INTELEC-TUALES","TÉCNICOS DE NIVEL MEDIO Y TRABAJ. ASIMIL","JEFES Y EMPLEA-DOS DE OFICINA","TRAB. DE. SERV. PERS. Y VEND. DEL COMERCIO Y MCDO.","AGRICULT. TRABAJ. CALIFICA-DO., AGROP. Y PESQUE-ROS.","OBREROS Y OPER. MINAS, CANTERAS, IND. MANUF. Y OTROS","OBR. CONST. CONF. PAPEL Y CARTÓN, FAB. INSTR. MUSI-CALES. Y AFINES","TRABAJ. NO CALIF. SERV. PEON, VEND. AMBU-LANTE Y AFINES",OTRA,"OCUPA-CIÓN NO ESPECI-FICADA"
,,,,,,,,,,,,
"Provincia LIMA (000)",3274973,10875,424336,341568,261233,634631,17444,418703,389944,616567,47790,111882
"Agric., ganadería, caza y silvicultura (001)",32691,74,1382,1312,682,10,16298,186,289,12458,,
"Pesca (002)",3969,42,578,301,289,,1145,41,63,1510,,
"Explotación de minas y canteras (003)",12072,195,4103,1899,1745,19,,2703,404,1004,,
"Industrias manufactureras (004)",458110,1025,15938,36542,19098,1839,,311296,51852,20520,,
"Suministro de electricidad, gas y agua (005)",8114,29,1197,1506,1174,,,1309,956,1943,,
"Construcción (006)",194064,335,11180,11375,2749,,,18078,115384,34963,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",782894,1941,18864,61270,23963,457398,,75208,11041,133209,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",89234,218,2860,6387,2570,15790,,54105,4626,2678,,
"Comercio al por mayor (009)",56956,916,4377,13106,6150,27288,,245,1060,3814,,
"Comercio al por menor (010)",636704,807,11627,41777,15243,414320,,20858,5355,126717,,
"Hoteles y restaurantes (011)",182583,287,3171,10044,10393,102519,,468,317,55384,,
"Trans., almac. y comunicaciones (012)",334511,642,8906,21884,40028,2349,,2874,199330,58498,,
"Intermediación financiera (013)",42514,596,6783,10732,23134,12,,59,90,1108,,
