"CUADRO Nº 1: POBLACIÓN TOTAL, POR ÁREA URBANA Y RURAL, Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y EDADES SIMPLES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y EDADES SIMPLES",TOTAL,POBLACIÓN,,TOTAL,URBANA,,TOTAL,RURAL,
,,HOMBRES,MUJERES,,HOMBRES,MUJERES,,HOMBRES,MUJERES
,,,,,,,,,
"Provincia ASCOPE (000)",116229,58299,57930,102230,50971,51259,13999,7328,6671
"Menores de 1 año (001)",2001,1015,986,1770,883,887,231,132,99
"Menores de 1 mes (002)",174,89,85,164,83,81,10,6,4
"De 1 a 11 meses (003)",1827,926,901,1606,800,806,221,126,95
"De 1 a 4 años (004)",8310,4275,4035,7225,3710,3515,1085,565,520
"1 año (005)",1959,1007,952,1706,870,836,253,137,116
"2 años (006)",2172,1097,1075,1895,954,941,277,143,134
"3 años (007)",2142,1116,1026,1855,969,886,287,147,140
"4 años (008)",2037,1055,982,1769,917,852,268,138,130
"De 5 a 9 años (009)",9864,5038,4826,8643,4434,4209,1221,604,617
"5 años (010)",1896,982,914,1652,861,791,244,121,123
"6 años (011)",1764,878,886,1548,769,779,216,109,107
"7 años (012)",2010,1027,983,1750,898,852,260,129,131
"8 años (013)",2138,1070,1068,1866,944,922,272,126,146
"9 años (014)",2056,1081,975,1827,962,865,229,119,110
"De 10 a 14 años (015)",11748,5964,5784,10380,5248,5132,1368,716,652
"10 años (016)",2414,1202,1212,2110,1041,1069,304,161,143
"11 años (017)",2265,1168,1097,2040,1050,990,225,118,107
"12 años (018)",2376,1186,1190,2099,1038,1061,277,148,129
"13 años (019)",2300,1153,1147,2024,1012,1012,276,141,135
"14 años (020)",2393,1255,1138,2107,1107,1000,286,148,138
"De 15 a 19 años (021)",10590,5420,5170,9263,4735,4528,1327,685,642
"15 años (022)",2266,1137,1129,2009,1004,1005,257,133,124
"16 años (023)",2077,1027,1050,1809,898,911,268,129,139
"17 años (024)",2061,1062,999,1777,914,863,284,148,136
"18 años (025)",2118,1130,988,1855,988,867,263,142,121
"19 años (026)",2068,1064,1004,1813,931,882,255,133,122
"De 20 a 24 años (027)",9633,4901,4732,8328,4222,4106,1305,679,626
"20 años (028)",2033,1052,981,1765,913,852,268,139,129
"21 años (029)",1709,867,842,1468,744,724,241,123,118
"22 años (030)",2076,1091,985,1786,932,854,290,159,131
"23 años (031)",1940,968,972,1663,832,831,277,136,141
"24 años (032)",1875,923,952,1646,801,845,229,122,107
"De 25 a 29 años (033)",8806,4353,4453,7650,3743,3907,1156,610,546
"25 años (034)",1896,896,1000,1640,771,869,256,125,131
"26 años (035)",1737,833,904,1519,725,794,218,108,110
"27 años (036)",1890,951,939,1624,803,821,266,148,118
"28 años (037)",1662,856,806,1440,735,705,222,121,101
"29 años (038)",1621,817,804,1427,709,718,194,108,86
"De 30 a 34 años (039)",8205,4068,4137,7272,3563,3709,933,505,428
"30 años (040)",1816,920,896,1583,783,800,233,137,96
"31 años (041)",1520,758,762,1364,674,690,156,84,72
