"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia COTABAMBAS (000)",11224,45009,2967,11590,8257,33419
"Casa independiente (001)",9142,36197,2891,11367,6251,24830
"Departamento en edificio (002)",5,22,5,22,,
"Vivienda en quinta (003)",5,15,5,15,,
"Vivienda en casa de vecindad (004)",57,170,57,170,,
"Choza o cabaña (005)",2000,8579,,,2000,8579
"Local no dest.para hab. humana (007)",10,17,5,8,5,9
"Otro tipo (008)",5,9,4,8,1,1
