"CUADRO Nº 9: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR CONDICIÓN DE ALFABETISMO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD NORMATIVA DE ESTUDIOS",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y EDAD NORMATIVA DE ESTUDIOS",TOTAL,"CONDICIÓN DE ALFABETISMO",
,,"SABE LEER Y ESCRIBIR","NO SABE LEER NI ESCRIBIR"
,,,
"Provincia SANTA (000)",164473,143055,21418
"De 3 a 5 años (001)",20280,2263,18017
"De 6 a 11 años (002)",44501,41967,2534
"De 12 a 16 años (003)",40971,40671,300
"De 17 a 24 años (004)",58721,58154,567
"Hombres (005)",83366,72289,11077
"De 3 a 5 años (006)",10448,1143,9305
"De 6 a 11 años (007)",22566,21213,1353
"De 12 a 16 años (008)",20699,20547,152
"De 17 a 24 años (009)",29653,29386,267
"Mujeres (010)",81107,70766,10341
"De 3 a 5 años (011)",9832,1120,8712
"De 6 a 11 años (012)",21935,20754,1181
"De 12 a 16 años (013)",20272,20124,148
"De 17 a 24 años (014)",29068,28768,300
,,,
"URBANA (015)",152678,133235,19443
"De 3 a 5 años (016)",18668,2149,16519
"De 6 a 11 años (017)",41075,38873,2202
"De 12 a 16 años (018)",37858,37607,251
"De 17 a 24 años (019)",55077,54606,471
"Hombres (020)",77041,66995,10046
"De 3 a 5 años (021)",9609,1079,8530
"De 6 a 11 años (022)",20728,19562,1166
"De 12 a 16 años (023)",19065,18938,127
"De 17 a 24 años (024)",27639,27416,223
"Mujeres (025)",75637,66240,9397
"De 3 a 5 años (026)",9059,1070,7989
"De 6 a 11 años (027)",20347,19311,1036
"De 12 a 16 años (028)",18793,18669,124
"De 17 a 24 años (029)",27438,27190,248
,,,
"RURAL (030)",11795,9820,1975
"De 3 a 5 años (031)",1612,114,1498
"De 6 a 11 años (032)",3426,3094,332
"De 12 a 16 años (033)",3113,3064,49
"De 17 a 24 años (034)",3644,3548,96
"Hombres (035)",6325,5294,1031
"De 3 a 5 años (036)",839,64,775
"De 6 a 11 años (037)",1838,1651,187
"De 12 a 16 años (038)",1634,1609,25
"De 17 a 24 años (039)",2014,1970,44
"Mujeres (040)",5470,4526,944
"De 3 a 5 años (041)",773,50,723
"De 6 a 11 años (042)",1588,1443,145
"De 12 a 16 años (043)",1479,1455,24
"De 17 a 24 años (044)",1630,1578,52
