"CUADRO Nº 6: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIAL, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia HUANCAYO (000)",126376,119317,598,28426,27882,20253,24331,12077,4614,1136,7059,380177
"De 12 a 14 años (001)",117,63,9,48,6,,,,,,54,60
"De 15 a 19 años (002)",2098,1876,53,1620,164,24,15,,,,222,2080
"De 20 a 24 años (003)",11224,8710,85,6187,1967,382,73,16,,,2514,11679
"De 25 a 29 años (004)",15259,13170,77,6576,4258,1602,604,45,8,,2089,22768
"De 30 a 34 años (005)",15738,14846,47,4539,5371,2874,1753,233,24,5,892,33119
"De 35 a 39 años (006)",15570,15139,58,2848,4808,3590,2962,732,129,12,431,41881
"De 40 a 44 años (007)",14027,13786,39,1826,3509,3210,3587,1197,372,46,241,45408
"De 45 a 49 años (008)",12240,12080,35,1322,2538,2547,3412,1606,513,107,160,44694
"De 50 y más años (009)",40103,39647,195,3460,5261,6024,11925,8248,3568,966,456,178488
"PEA (010)",57050,53179,265,14837,14005,9204,9410,3781,1361,316,3871,150479
"De 12 a 14 años (011)",20,19,1,15,3,,,,,,1,21
"De 15 a 19 años (012)",598,539,9,469,46,11,4,,,,59,610
"De 20 a 24 años (013)",4525,3369,38,2516,673,110,24,8,,,1156,4345
"De 25 a 29 años (014)",7289,5942,39,3435,1687,571,189,17,4,,1347,9450
"De 30 a 34 años (015)",8302,7675,27,2901,2770,1202,690,80,3,2,627,15546
"De 35 a 39 años (016)",8535,8233,36,1934,2791,1874,1304,251,40,3,302,20687
"De 40 a 44 años (017)",7761,7610,22,1281,2183,1769,1708,507,131,9,151,22799
"De 45 a 49 años (018)",6677,6580,23,892,1623,1427,1709,673,190,43,97,22214
"De 50 y más años (019)",13343,13212,70,1394,2229,2240,3782,2245,993,259,131,54807
