"CUADRO Nº 32: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR OCUPACIÓN PRINCIPAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"OCUPACION PRINCIPAL",,,,,,,,,,
,,"MIEMBROS PODER EJEC. Y LEGIS., DIRECT. ADM., PUB.Y EMP.","PROFES., CIENTÍFI-COS E INTELEC-TUALES","TÉCNICOS DE NIVEL MEDIO Y TRABAJ. ASIMIL","JEFES Y EMPLEA-DOS DE OFICINA","TRAB. DE. SERV. PERS. Y VEND. DEL COMERCIO Y MCDO.","AGRICULT. TRABAJ. CALIFICA-DO., AGROP. Y PESQUE-ROS.","OBREROS Y OPER. MINAS, CANTERAS, IND. MANUF. Y OTROS","OBR. CONST. CONF. PAPEL Y CARTÓN, FAB. INSTR. MUSI-CALES. Y AFINES","TRABAJ. NO CALIF. SERV. PEON, VEND. AMBU-LANTE Y AFINES",OTRA,"OCUPA-CIÓN NO ESPECI-FICADA"
,,,,,,,,,,,,
"Provincia SAN MARCOS (000)",14033,24,910,199,207,914,6064,527,550,4098,24,516
"Agric., ganadería, caza y silvicultura (001)",9213,,4,20,,,6063,,,3126,,
"Pesca (002)",3,,,,,,1,,,2,,
"Explotación de minas y canteras (003)",36,,4,2,4,,,10,2,14,,
"Industrias manufactureras (004)",459,1,1,5,4,2,,423,19,4,,
"Suministro de electricidad, gas y agua (005)",12,,1,1,,,,3,4,3,,
"Construcción (006)",386,,9,5,1,,,13,242,116,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",1076,,9,18,2,763,,76,6,202,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",68,,2,1,,9,,53,2,1,,
"Comercio al por mayor (009)",44,,1,2,1,37,,,1,2,,
"Comercio al por menor (010)",964,,6,15,1,717,,23,3,199,,
"Hoteles y restaurantes (011)",182,,,5,2,129,,,,46,,
"Trans., almac. y comunicaciones (012)",301,1,,3,10,,,,258,29,,
"Intermediación financiera (013)",11,,2,1,8,,,,,,,
"Activid.inmobil., empres. y alquileres (014)",157,,54,46,39,2,,,1,15,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",189,16,14,5,80,1,,,16,33,24,
"Enseñanza (016)",760,6,745,1,5,,,,,3,,
"Servicios sociales y de salud (017)",133,,48,48,9,2,,1,1,24,,
"Otras activ. serv.comun.soc y personales (018)",241,,8,30,13,15,,1,1,173,,
"Hogares privados con servicio doméstico (019)",307,,,,,,,,,307,,
"Actividad economica no especificada (021)",567,,11,9,30,,,,,1,,516
"Hombres (022)",11090,22,485,136,108,446,5829,424,537,2805,24,274
"Agric., ganadería, caza y silvicultura (023)",8182,,4,18,,,5828,,,2332,,
"Pesca (024)",3,,,,,,1,,,2,,
"Explotación de minas y canteras (025)",30,,2,2,3,,,9,2,12,,
"Industrias manufactureras (026)",351,1,1,3,3,2,,324,14,3,,
"Suministro de electricidad, gas y agua (027)",12,,1,1,,,,3,4,3,,
"Construcción (028)",381,,9,5,,,,13,239,115,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",634,,7,11,1,410,,73,6,126,,
"Venta, mant.y rep. veh.autom.y motoc. (030)",63,,2,1,,6,,51,2,1,,
"Comercio al por mayor (031)",25,,1,1,,22,,,1,,,
"Comercio al por menor (032)",546,,4,9,1,382,,22,3,125,,
"Hoteles y restaurantes (033)",44,,,4,2,23,,,,15,,
"Trans., almac. y comunicaciones (034)",281,1,,2,4,,,,253,21,,
"Intermediación financiera (035)",8,,1,1,6,,,,,,,
"Activid.inmobil., empres. y alquileres (036)",86,,32,30,11,2,,,1,10,,
"Admin.pub. y defensa; p. segur.soc.afil (037)",151,16,9,5,52,1,,,16,28,24,
"Enseñanza (038)",395,4,388,1,1,,,,,1,,
"Servicios sociales y de salud (039)",45,,17,21,2,1,,1,1,2,,
"Otras activ. serv.comun.soc y personales (040)",164,,7,26,6,7,,1,1,116,,
"Hogares privados con servicio doméstico (041)",18,,,,,,,,,18,,
"Actividad economica no especificada (043)",305,,7,6,17,,,,,1,,274
"Mujeres (044)",2943,2,425,63,99,468,235,103,13,1293,,242
"Agric., ganadería, caza y silvicultura (045)",1031,,,2,,,235,,,794,,
"Explotación de minas y canteras (047)",6,,2,,1,,,1,,2,,
"Industrias manufactureras (048)",108,,,2,1,,,99,5,1,,
"Construcción (050)",5,,,,1,,,,3,1,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (051)",442,,2,7,1,353,,3,,76,,
"Venta, mant.y rep. veh.autom.y motoc. (052)",5,,,,,3,,2,,,,
"Comercio al por mayor (053)",19,,,1,1,15,,,,2,,
"Comercio al por menor (054)",418,,2,6,,335,,1,,74,,
"Hoteles y restaurantes (055)",138,,,1,,106,,,,31,,
"Trans., almac. y comunicaciones (056)",20,,,1,6,,,,5,8,,
"Intermediación financiera (057)",3,,1,,2,,,,,,,
"Activid.inmobil., empres. y alquileres (058)",71,,22,16,28,,,,,5,,
"Admin.pub. y defensa; p. segur.soc.afil (059)",38,,5,,28,,,,,5,,
"Enseñanza (060)",365,2,357,,4,,,,,2,,
"Servicios sociales y de salud (061)",88,,31,27,7,1,,,,22,,
"Otras activ. serv.comun.soc y personales (062)",77,,1,4,7,8,,,,57,,
"Hogares privados con servicio doméstico (063)",289,,,,,,,,,289,,
"Actividad economica no especificada (065)",262,,4,3,13,,,,,,,242
,,,,,,,,,,,,
"URBANA (066)",4292,15,760,163,168,717,675,289,365,906,23,211
"Agric., ganadería, caza y silvicultura (067)",997,,4,12,,,674,,,307,,
"Pesca (068)",1,,,,,,1,,,,,
"Explotación de minas y canteras (069)",12,,3,2,3,,,2,2,,,
"Industrias manufactureras (070)",235,1,1,5,3,1,,210,11,3,,
"Suministro de electricidad, gas y agua (071)",4,,1,1,,,,1,1,,,
"Construcción (072)",226,,8,5,,,,11,147,55,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (073)",863,,8,16,2,618,,63,6,150,,
"Venta, mant.y rep. veh.autom.y motoc. (074)",55,,2,,,8,,43,2,,,
"Comercio al por mayor (075)",35,,1,2,1,28,,,1,2,,
"Comercio al por menor (076)",773,,5,14,1,582,,20,3,148,,
"Hoteles y restaurantes (077)",124,,,5,2,79,,,,38,,
"Trans., almac. y comunicaciones (078)",213,1,,3,9,,,,182,18,,
"Intermediación financiera (079)",10,,2,,8,,,,,,,
"Activid.inmobil., empres. y alquileres (080)",141,,49,39,36,2,,,1,14,,
"Admin.pub. y defensa; p. segur.soc.afil (081)",138,7,14,4,53,1,,,13,23,23,
"Enseñanza (082)",624,6,611,1,5,,,,,1,,
"Servicios sociales y de salud (083)",107,,42,37,8,2,,1,1,16,,
"Otras activ. serv.comun.soc y personales (084)",194,,7,24,13,14,,1,1,134,,
"Hogares privados con servicio doméstico (085)",147,,,,,,,,,147,,
"Actividad economica no especificada (087)",256,,10,9,26,,,,,,,211
"Hombres (088)",2869,13,403,110,85,363,621,240,358,538,23,115
"Agric., ganadería, caza y silvicultura (089)",879,,4,11,,,620,,,244,,
"Pesca (090)",1,,,,,,1,,,,,
"Explotación de minas y canteras (091)",9,,1,2,2,,,2,2,,,
"Industrias manufactureras (092)",184,1,1,3,2,1,,164,9,3,,
"Suministro de electricidad, gas y agua (093)",4,,1,1,,,,1,1,,,
"Construcción (094)",222,,8,5,,,,11,144,54,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (095)",506,,6,10,1,336,,60,6,87,,
"Venta, mant.y rep. veh.autom.y motoc. (096)",50,,2,,,5,,41,2,,,
"Comercio al por mayor (097)",17,,1,1,,14,,,1,,,
"Comercio al por menor (098)",439,,3,9,1,317,,19,3,87,,
"Hoteles y restaurantes (099)",34,,,4,2,16,,,,12,,
"Trans., almac. y comunicaciones (100)",202,1,,2,4,,,,180,15,,
"Intermediación financiera (101)",7,,1,,6,,,,,,,
"Activid.inmobil., empres. y alquileres (102)",76,,29,25,10,2,,,1,9,,
"Admin.pub. y defensa; p. segur.soc.afil (103)",111,7,9,4,35,1,,,13,19,23,
"Enseñanza (104)",321,4,314,1,1,,,,,1,,
"Servicios sociales y de salud (105)",39,,16,16,2,1,,1,1,2,,
"Otras activ. serv.comun.soc y personales (106)",125,,6,20,6,6,,1,1,85,,
"Hogares privados con servicio doméstico (107)",7,,,,,,,,,7,,
"Actividad economica no especificada (109)",142,,7,6,14,,,,,,,115
"Mujeres (110)",1423,2,357,53,83,354,54,49,7,368,,96
"Agric., ganadería, caza y silvicultura (111)",118,,,1,,,54,,,63,,
"Explotación de minas y canteras (113)",3,,2,,1,,,,,,,
"Industrias manufactureras (114)",51,,,2,1,,,46,2,,,
"Construcción (116)",4,,,,,,,,3,1,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (117)",357,,2,6,1,282,,3,,63,,
"Venta, mant.y rep. veh.autom.y motoc. (118)",5,,,,,3,,2,,,,
"Comercio al por mayor (119)",18,,,1,1,14,,,,2,,
"Comercio al por menor (120)",334,,2,5,,265,,1,,61,,
"Hoteles y restaurantes (121)",90,,,1,,63,,,,26,,
"Trans., almac. y comunicaciones (122)",11,,,1,5,,,,2,3,,
"Intermediación financiera (123)",3,,1,,2,,,,,,,
"Activid.inmobil., empres. y alquileres (124)",65,,20,14,26,,,,,5,,
"Admin.pub. y defensa; p. segur.soc.afil (125)",27,,5,,18,,,,,4,,
"Enseñanza (126)",303,2,297,,4,,,,,,,
"Servicios sociales y de salud (127)",68,,26,21,6,1,,,,14,,
"Otras activ. serv.comun.soc y personales (128)",69,,1,4,7,8,,,,49,,
"Hogares privados con servicio doméstico (129)",140,,,,,,,,,140,,
"Actividad economica no especificada (131)",114,,3,3,12,,,,,,,96
,,,,,,,,,,,,
"RURAL (132)",9741,9,150,36,39,197,5389,238,185,3192,1,305
"Agric., ganadería, caza y silvicultura (133)",8216,,,8,,,5389,,,2819,,
"Pesca (134)",2,,,,,,,,,2,,
"Explotación de minas y canteras (135)",24,,1,,1,,,8,,14,,
"Industrias manufactureras (136)",224,,,,1,1,,213,8,1,,
"Suministro de electricidad, gas y agua (137)",8,,,,,,,2,3,3,,
"Construcción (138)",160,,1,,1,,,2,95,61,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (139)",213,,1,2,,145,,13,,52,,
"Venta, mant.y rep. veh.autom.y motoc. (140)",13,,,1,,1,,10,,1,,
"Comercio al por mayor (141)",9,,,,,9,,,,,,
"Comercio al por menor (142)",191,,1,1,,135,,3,,51,,
"Hoteles y restaurantes (143)",58,,,,,50,,,,8,,
"Trans., almac. y comunicaciones (144)",88,,,,1,,,,76,11,,
"Intermediación financiera (145)",1,,,1,,,,,,,,
"Activid.inmobil., empres. y alquileres (146)",16,,5,7,3,,,,,1,,
"Admin.pub. y defensa; p. segur.soc.afil (147)",51,9,,1,27,,,,3,10,1,
"Enseñanza (148)",136,,134,,,,,,,2,,
"Servicios sociales y de salud (149)",26,,6,11,1,,,,,8,,
"Otras activ. serv.comun.soc y personales (150)",47,,1,6,,1,,,,39,,
"Hogares privados con servicio doméstico (151)",160,,,,,,,,,160,,
"Actividad economica no especificada (153)",311,,1,,4,,,,,1,,305
"Hombres (154)",8221,9,82,26,23,83,5208,184,179,2267,1,159
"Agric., ganadería, caza y silvicultura (155)",7303,,,7,,,5208,,,2088,,
"Pesca (156)",2,,,,,,,,,2,,
"Explotación de minas y canteras (157)",21,,1,,1,,,7,,12,,
"Industrias manufactureras (158)",167,,,,1,1,,160,5,,,
"Suministro de electricidad, gas y agua (159)",8,,,,,,,2,3,3,,
"Construcción (160)",159,,1,,,,,2,95,61,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (161)",128,,1,1,,74,,13,,39,,
"Venta, mant.y rep. veh.autom.y motoc. (162)",13,,,1,,1,,10,,1,,
"Comercio al por mayor (163)",8,,,,,8,,,,,,
"Comercio al por menor (164)",107,,1,,,65,,3,,38,,
"Hoteles y restaurantes (165)",10,,,,,7,,,,3,,
"Trans., almac. y comunicaciones (166)",79,,,,,,,,73,6,,
"Intermediación financiera (167)",1,,,1,,,,,,,,
"Activid.inmobil., empres. y alquileres (168)",10,,3,5,1,,,,,1,,
"Admin.pub. y defensa; p. segur.soc.afil (169)",40,9,,1,17,,,,3,9,1,
"Enseñanza (170)",74,,74,,,,,,,,,
"Servicios sociales y de salud (171)",6,,1,5,,,,,,,,
"Otras activ. serv.comun.soc y personales (172)",39,,1,6,,1,,,,31,,
"Hogares privados con servicio doméstico (173)",11,,,,,,,,,11,,
"Actividad economica no especificada (175)",163,,,,3,,,,,1,,159
"Mujeres (176)",1520,,68,10,16,114,181,54,6,925,,146
"Agric., ganadería, caza y silvicultura (177)",913,,,1,,,181,,,731,,
"Explotación de minas y canteras (179)",3,,,,,,,1,,2,,
"Industrias manufactureras (180)",57,,,,,,,53,3,1,,
"Construcción (182)",1,,,,1,,,,,,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (183)",85,,,1,,71,,,,13,,
"Comercio al por mayor (185)",1,,,,,1,,,,,,
"Comercio al por menor (186)",84,,,1,,70,,,,13,,
"Hoteles y restaurantes (187)",48,,,,,43,,,,5,,
"Trans., almac. y comunicaciones (188)",9,,,,1,,,,3,5,,
"Activid.inmobil., empres. y alquileres (190)",6,,2,2,2,,,,,,,
"Admin.pub. y defensa; p. segur.soc.afil (191)",11,,,,10,,,,,1,,
"Enseñanza (192)",62,,60,,,,,,,2,,
"Servicios sociales y de salud (193)",20,,5,6,1,,,,,8,,
"Otras activ. serv.comun.soc y personales (194)",8,,,,,,,,,8,,
"Hogares privados con servicio doméstico (195)",149,,,,,,,,,149,,
"Actividad economica no especificada (197)",148,,1,,1,,,,,,,146
