"CUADRO Nº 10: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia AREQUIPA (000)",340701,212465,36516,37037,54683
"Hombres (001)",196330,119034,21730,21370,34196
"Mujeres (002)",144371,93431,14786,15667,20487
"De 06 a 14 años (003)",2590,2277,203,84,26
"Hombres (004)",1393,1189,131,55,18
"Mujeres (005)",1197,1088,72,29,8
"De 15 a 29 años (006)",108515,67500,14374,12457,14184
"Hombres (007)",60816,36810,8556,7207,8243
"Mujeres (008)",47699,30690,5818,5250,5941
"De 30 a 44 años (009)",131030,77441,13985,15778,23826
"Hombres (010)",74593,42717,8008,8832,15036
"Mujeres (011)",56437,34724,5977,6946,8790
"De 45 a 64 años (012)",86554,55319,7149,8201,15885
"Hombres (013)",51358,31755,4432,4903,10268
"Mujeres (014)",35196,23564,2717,3298,5617
"De 65 y más años (015)",12012,9928,805,517,762
"Hombres (016)",8170,6563,603,373,631
"Mujeres (017)",3842,3365,202,144,131
,,,,,
"URBANA (018)",331326,205233,35453,36590,54050
"Hombres (019)",189937,114212,21006,21046,33673
"Mujeres (020)",141389,91021,14447,15544,20377
"De 06 a 14 años (021)",2485,2184,193,82,26
"Hombres (022)",1324,1129,123,54,18
"Mujeres (023)",1161,1055,70,28,8
"De 15 a 29 años (024)",105603,65403,13986,12270,13944
"Hombres (025)",58905,35484,8300,7071,8050
"Mujeres (026)",46698,29919,5686,5199,5894
"De 30 a 44 años (027)",127921,75120,13615,15637,23549
"Hombres (028)",72528,41221,7769,8735,14803
"Mujeres (029)",55393,33899,5846,6902,8746
"De 45 a 64 años (030)",84098,53319,6906,8097,15776
"Hombres (031)",49658,30400,4259,4823,10176
"Mujeres (032)",34440,22919,2647,3274,5600
"De 65 y más años (033)",11219,9207,753,504,755
"Hombres (034)",7522,5978,555,363,626
"Mujeres (035)",3697,3229,198,141,129
,,,,,
"RURAL (036)",9375,7232,1063,447,633
"Hombres (037)",6393,4822,724,324,523
"Mujeres (038)",2982,2410,339,123,110
"De 06 a 14 años (039)",105,93,10,2,
"Hombres (040)",69,60,8,1,
"Mujeres (041)",36,33,2,1,
"De 15 a 29 años (042)",2912,2097,388,187,240
"Hombres (043)",1911,1326,256,136,193
"Mujeres (044)",1001,771,132,51,47
"De 30 a 44 años (045)",3109,2321,370,141,277
"Hombres (046)",2065,1496,239,97,233
"Mujeres (047)",1044,825,131,44,44
"De 45 a 64 años (048)",2456,2000,243,104,109
"Hombres (049)",1700,1355,173,80,92
"Mujeres (050)",756,645,70,24,17
"De 65 y más años (051)",793,721,52,13,7
"Hombres (052)",648,585,48,10,5
"Mujeres (053)",145,136,4,3,2
