"CUADRO Nº 12: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia LAMAS (000)",32666,28666,2341,839,820
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",51,,3,8,40
"Profes., científicos e intelectuales (002)",957,261,189,355,152
"Técnicos de nivel medio y trab. asimilados (003)",291,132,27,31,101
"Jefes y empleados de oficina (004)",409,52,24,64,269
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",1708,1598,73,18,19
"Agricult.trabaj.calif.agrop.y pesqueros (006)",14578,13792,775,11,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",560,496,40,11,13
"Obreros construc.,conf.,papel, fab., instr. (008)",1022,790,121,59,52
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",12393,10948,1050,270,125
"Otra (010)",42,,,,42
"Ocupación no especificada (011)",655,597,39,12,7
"Hombres (012)",23680,20789,1766,575,550
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",43,,2,7,34
"Profes., científicos e intelectuales (014)",527,120,118,203,86
"Técnicos de nivel medio y trab. asimilados (015)",200,97,21,29,53
"Jefes y empleados de oficina (016)",206,22,14,34,136
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",733,671,38,12,12
"Agricult.trabaj.calif.agrop.y pesqueros (018)",13090,12407,673,10,
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",438,380,38,8,12
"Obreros construc.,conf.,papel, fab., instr. (020)",1007,776,120,59,52
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",7254,6205,727,204,118
"Otra (022)",42,,,,42
"Ocupación no especificada (023)",140,111,15,9,5
"Mujeres (024)",8986,7877,575,264,270
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",8,,1,1,6
"Profes., científicos e intelectuales (026)",430,141,71,152,66
"Técnicos de nivel medio y trab. asimilados (027)",91,35,6,2,48
"Jefes y empleados de oficina (028)",203,30,10,30,133
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",975,927,35,6,7
"Agricult.trabaj.calif.agrop.y pesqueros (030)",1488,1385,102,1,
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",122,116,2,3,1
"Obreros construc.,conf.,papel, fab., instr. (032)",15,14,1,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (033)",5139,4743,323,66,7
