"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia PACASMAYO (000)",31502,19847,4711,3845,3099
"Agric., ganadería, caza y silvicultura (001)",10020,5598,2306,1570,546
"Pesca (002)",298,232,41,15,10
"Explotación de minas y canteras (003)",62,14,6,12,30
"Industrias manufactureras (004)",2415,1383,281,311,440
"Suministro de electricidad, gas y agua (005)",62,19,9,30,4
"Construcción (006)",2083,1371,336,227,149
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",5374,4804,361,149,60
"Venta, mant.y rep. veh.autom y motoc. (008)",716,513,101,56,46
"Comercio al por mayor (009)",252,177,32,29,14
"Comercio al por menor (010)",4406,4114,228,64,
"Hoteles y restaurantes (011)",1125,989,97,31,8
"Trans., almac. y comunicaciones (012)",3039,2254,355,202,228
"Intermediación financiera (013)",98,22,16,39,21
"Activid.inmobil., empres. y alquileres (014)",1210,565,159,220,266
"Admin.pub. y defensa; p. segur soc.afil (015)",718,,,,718
"Enseñanza (016)",1850,366,457,808,219
"Servicios sociales y de salud (017)",430,100,22,21,287
"Otras activ. serv.comun.soc y personales (018)",740,541,111,72,16
"Hogares privados con servicio doméstico (019)",876,876,,,
"Actividad economica no especificada (021)",1102,713,154,138,97
"Hombres (022)",22765,13975,3721,2777,2292
"Agric., ganadería, caza y silvicultura (023)",8576,5050,1975,1160,391
"Pesca (024)",291,226,41,15,9
"Explotación de minas y canteras (025)",61,13,6,12,30
"Industrias manufactureras (026)",2071,1136,251,287,397
"Suministro de electricidad, gas y agua (027)",57,16,9,28,4
"Construcción (028)",2048,1350,333,222,143
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",2901,2466,257,123,55
"Venta, mant.y rep. veh.autom y motoc. (030)",653,470,87,51,45
"Comercio al por mayor (031)",159,100,27,22,10
"Comercio al por menor (032)",2089,1896,143,50,
"Hoteles y restaurantes (033)",354,286,42,19,7
"Trans., almac. y comunicaciones (034)",2877,2125,336,198,218
"Intermediación financiera (035)",53,15,6,22,10
"Activid.inmobil., empres. y alquileres (036)",882,372,118,168,224
"Admin.pub. y defensa; p. segur soc.afil (037)",524,,,,524
"Enseñanza (038)",714,97,153,360,104
"Servicios sociales y de salud (039)",156,53,7,8,88
"Otras activ. serv.comun.soc y personales (040)",443,292,79,56,16
