"CUADRO Nº 2: VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia BOLOGNESI (000)",10934,6375,4559
"Casa independiente (001)",9584,6183,3401
"Departamento en edificio (002)",63,63,
"Vivienda en quinta (003)",29,29,
"Vivienda en casa de vecindad (004)",76,76,
"Choza o cabaña (005)",1152,,1152
"Vivienda improvisada (006)",12,12,
"Local no dest.para hab. humana (007)",15,12,3
"Otro tipo (008)",3,,3
