"CUADRO Nº 10: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia FERREÑAFE (000)",27955,20993,3026,1948,1988
"Hombres (001)",20603,15330,2523,1403,1347
"Mujeres (002)",7352,5663,503,545,641
"De 06 a 14 años (003)",659,582,49,27,1
"Hombres (004)",420,362,38,20,
"Mujeres (005)",239,220,11,7,1
"De 15 a 29 años (006)",8713,6637,1091,574,411
"Hombres (007)",6496,4898,903,441,254
"Mujeres (008)",2217,1739,188,133,157
"De 30 a 44 años (009)",9771,7034,1059,786,892
"Hombres (010)",6950,4968,875,519,588
"Mujeres (011)",2821,2066,184,267,304
"De 45 a 64 años (012)",7303,5425,704,521,653
"Hombres (013)",5526,4069,597,385,475
"Mujeres (014)",1777,1356,107,136,178
"De 65 y más años (015)",1509,1315,123,40,31
"Hombres (016)",1211,1033,110,38,30
"Mujeres (017)",298,282,13,2,1
,,,,,
"URBANA (018)",16133,10877,1972,1556,1728
"Hombres (019)",11363,7537,1603,1089,1134
"Mujeres (020)",4770,3340,369,467,594
"De 06 a 14 años (021)",202,158,26,17,1
"Hombres (022)",145,109,21,15,
"Mujeres (023)",57,49,5,2,1
"De 15 a 29 años (024)",4660,3215,681,422,342
"Hombres (025)",3307,2243,543,314,207
"Mujeres (026)",1353,972,138,108,135
"De 30 a 44 años (027)",5983,3839,715,638,791
"Hombres (028)",4012,2518,578,411,505
"Mujeres (029)",1971,1321,137,227,286
"De 45 a 64 años (030)",4532,3048,464,451,569
"Hombres (031)",3302,2196,386,322,398
"Mujeres (032)",1230,852,78,129,171
"De 65 y más años (033)",756,617,86,28,25
"Hombres (034)",597,471,75,27,24
"Mujeres (035)",159,146,11,1,1
,,,,,
"RURAL (036)",11822,10116,1054,392,260
"Hombres (037)",9240,7793,920,314,213
"Mujeres (038)",2582,2323,134,78,47
"De 06 a 14 años (039)",457,424,23,10,
"Hombres (040)",275,253,17,5,
"Mujeres (041)",182,171,6,5,
"De 15 a 29 años (042)",4053,3422,410,152,69
"Hombres (043)",3189,2655,360,127,47
"Mujeres (044)",864,767,50,25,22
"De 30 a 44 años (045)",3788,3195,344,148,101
"Hombres (046)",2938,2450,297,108,83
"Mujeres (047)",850,745,47,40,18
"De 45 a 64 años (048)",2771,2377,240,70,84
"Hombres (049)",2224,1873,211,63,77
"Mujeres (050)",547,504,29,7,7
"De 65 y más años (051)",753,698,37,12,6
"Hombres (052)",614,562,35,11,6
"Mujeres (053)",139,136,2,1,
