"CUADRO Nº 1: POBLACIÓN TOTAL, POR ÁREA URBANA Y RURAL, Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y EDADES SIMPLES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y EDADES SIMPLES",TOTAL,POBLACIÓN,,TOTAL,URBANA,,TOTAL,RURAL,
,,HOMBRES,MUJERES,,HOMBRES,MUJERES,,HOMBRES,MUJERES
,,,,,,,,,
"Provincia PATAZ (000)",78383,41638,36745,20462,10823,9639,57921,30815,27106
"Menores de 1 año (001)",2060,1099,961,437,227,210,1623,872,751
"Menores de 1 mes (002)",110,60,50,23,14,9,87,46,41
"De 1 a 11 meses (003)",1950,1039,911,414,213,201,1536,826,710
"De 1 a 4 años (004)",8513,4370,4143,1860,956,904,6653,3414,3239
"1 año (005)",2048,1053,995,410,205,205,1638,848,790
"2 años (006)",2254,1164,1090,535,279,256,1719,885,834
"3 años (007)",2143,1071,1072,483,257,226,1660,814,846
"4 años (008)",2068,1082,986,432,215,217,1636,867,769
"De 5 a 9 años (009)",10037,5155,4882,2245,1114,1131,7792,4041,3751
"5 años (010)",2008,1035,973,439,218,221,1569,817,752
"6 años (011)",1847,900,947,396,190,206,1451,710,741
"7 años (012)",2032,1040,992,453,216,237,1579,824,755
"8 años (013)",2072,1090,982,454,236,218,1618,854,764
"9 años (014)",2078,1090,988,503,254,249,1575,836,739
"De 10 a 14 años (015)",10645,5423,5222,2584,1307,1277,8061,4116,3945
"10 años (016)",2178,1048,1130,501,229,272,1677,819,858
"11 años (017)",2119,1068,1051,514,261,253,1605,807,798
"12 años (018)",2310,1195,1115,552,289,263,1758,906,852
"13 años (019)",2083,1086,997,520,258,262,1563,828,735
"14 años (020)",1955,1026,929,497,270,227,1458,756,702
"De 15 a 19 años (021)",7335,3887,3448,2021,1074,947,5314,2813,2501
"15 años (022)",1843,962,881,500,260,240,1343,702,641
"16 años (023)",1586,797,789,465,232,233,1121,565,556
"17 años (024)",1423,759,664,337,165,172,1086,594,492
"18 años (025)",1340,746,594,370,216,154,970,530,440
"19 años (026)",1143,623,520,349,201,148,794,422,372
"De 20 a 24 años (027)",6170,3464,2706,1869,1015,854,4301,2449,1852
"20 años (028)",1327,693,634,405,210,195,922,483,439
"21 años (029)",1072,608,464,304,159,145,768,449,319
"22 años (030)",1177,661,516,371,205,166,806,456,350
"23 años (031)",1252,734,518,398,225,173,854,509,345
"24 años (032)",1342,768,574,391,216,175,951,552,399
"De 25 a 29 años (033)",5905,3397,2508,1830,1050,780,4075,2347,1728
"25 años (034)",1272,726,546,397,234,163,875,492,383
"26 años (035)",1166,675,491,377,211,166,789,464,325
"27 años (036)",1224,705,519,365,217,148,859,488,371
"28 años (037)",1169,654,515,366,203,163,803,451,352
"29 años (038)",1074,637,437,325,185,140,749,452,297
"De 30 a 34 años (039)",5275,2981,2294,1648,900,748,3627,2081,1546
"30 años (040)",1338,766,572,405,211,194,933,555,378
"31 años (041)",882,516,366,279,158,121,603,358,245
"32 años (042)",1063,604,459,332,183,149,731,421,310
"33 años (043)",1028,567,461,334,188,146,694,379,315
