"CUADRO Nº 2: POBLACIÓN TOTAL, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia PUNO (000)",229236,3510,61938,63067,45025,37548,18148
"Hombres (001)",113121,1775,32098,31236,21292,18033,8687
"Mujeres (002)",116115,1735,29840,31831,23733,19515,9461
"Viviendas particulares (003)",225215,3476,61632,61710,44053,36460,17884
"Hombres (004)",110490,1755,31948,30246,20606,17399,8536
"Mujeres (005)",114725,1721,29684,31464,23447,19061,9348
"Viviendas colectivas (006)",3243,32,249,1081,717,943,221
"Hombres (007)",2144,20,117,811,523,548,125
"Mujeres (008)",1099,12,132,270,194,395,96
"Otro tipo (009)",778,2,57,276,255,145,43
"Hombres (010)",487,,33,179,163,86,26
"Mujeres (011)",291,2,24,97,92,59,17
,,,,,,,
"URBANA (012)",136754,2114,36090,41204,29538,21285,6523
"Hombres (013)",67202,1077,18586,20355,13753,10396,3035
"Mujeres (014)",69552,1037,17504,20849,15785,10889,3488
"Viviendas particulares (015)",133064,2080,35784,39885,28633,20421,6261
"Hombres (016)",64751,1057,18436,19395,13105,9872,2886
"Mujeres (017)",68313,1023,17348,20490,15528,10549,3375
"Viviendas colectivas (018)",2917,32,249,1046,651,720,219
"Hombres (019)",1969,20,117,784,486,439,123
"Mujeres (020)",948,12,132,262,165,281,96
"Otro tipo (021)",773,2,57,273,254,144,43
"Hombres (022)",482,,33,176,162,85,26
"Mujeres (023)",291,2,24,97,92,59,17
,,,,,,,
"RURAL (024)",92482,1396,25848,21863,15487,16263,11625
"Hombres (025)",45919,698,13512,10881,7539,7637,5652
"Mujeres (026)",46563,698,12336,10982,7948,8626,5973
"Viviendas particulares (027)",92151,1396,25848,21825,15420,16039,11623
"Hombres (028)",45739,698,13512,10851,7501,7527,5650
"Mujeres (029)",46412,698,12336,10974,7919,8512,5973
"Viviendas colectivas (030)",326,,,35,66,223,2
"Hombres (031)",175,,,27,37,109,2
"Mujeres (032)",151,,,8,29,114,
"Otro tipo (033)",5,,,3,1,1,
"Hombres (034)",5,,,3,1,1,
