"CUADRO Nº 10: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia ATALAYA (000)",12955,9876,1552,603,924
"Hombres (001)",8875,6558,1170,425,722
"Mujeres (002)",4080,3318,382,178,202
"De 06 a 14 años (003)",843,712,123,7,1
"Hombres (004)",509,431,70,7,1
"Mujeres (005)",334,281,53,,
"De 15 a 29 años (006)",5157,3993,610,238,316
"Hombres (007)",3413,2564,449,165,235
"Mujeres (008)",1744,1429,161,73,81
"De 30 a 44 años (009)",4250,3010,555,263,422
"Hombres (010)",2938,2001,430,179,328
"Mujeres (011)",1312,1009,125,84,94
"De 45 a 64 años (012)",2379,1868,247,90,174
"Hombres (013)",1759,1335,206,70,148
"Mujeres (014)",620,533,41,20,26
"De 65 y más años (015)",326,293,17,5,11
"Hombres (016)",256,227,15,4,10
"Mujeres (017)",70,66,2,1,1
,,,,,
"URBANA (018)",5393,3429,669,461,834
"Hombres (019)",3603,2137,522,300,644
"Mujeres (020)",1790,1292,147,161,190
"De 06 a 14 años (021)",151,132,13,5,1
"Hombres (022)",102,85,11,5,1
"Mujeres (023)",49,47,2,,
"De 15 a 29 años (024)",1980,1272,250,177,281
"Hombres (025)",1253,742,189,114,208
"Mujeres (026)",727,530,61,63,73
"De 30 a 44 años (027)",2022,1151,275,207,389
"Hombres (028)",1327,694,208,126,299
"Mujeres (029)",695,457,67,81,90
"De 45 a 64 años (030)",1094,747,123,69,155
"Hombres (031)",810,522,106,53,129
"Mujeres (032)",284,225,17,16,26
"De 65 y más años (033)",146,127,8,3,8
"Hombres (034)",111,94,8,2,7
"Mujeres (035)",35,33,,1,1
,,,,,
"RURAL (036)",7562,6447,883,142,90
"Hombres (037)",5272,4421,648,125,78
"Mujeres (038)",2290,2026,235,17,12
"De 06 a 14 años (039)",692,580,110,2,
"Hombres (040)",407,346,59,2,
"Mujeres (041)",285,234,51,,
"De 15 a 29 años (042)",3177,2721,360,61,35
"Hombres (043)",2160,1822,260,51,27
"Mujeres (044)",1017,899,100,10,8
"De 30 a 44 años (045)",2228,1859,280,56,33
"Hombres (046)",1611,1307,222,53,29
"Mujeres (047)",617,552,58,3,4
"De 45 a 64 años (048)",1285,1121,124,21,19
"Hombres (049)",949,813,100,17,19
"Mujeres (050)",336,308,24,4,
"De 65 y más años (051)",180,166,9,2,3
"Hombres (052)",145,133,7,2,3
"Mujeres (053)",35,33,2,,
