"CUADRO Nº 32: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR OCUPACIÓN PRINCIPAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"OCUPACION PRINCIPAL",,,,,,,,,,
,,"MIEMBROS PODER EJEC. Y LEGIS., DIRECT. ADM., PUB.Y EMP.","PROFES., CIENTÍFI-COS E INTELEC-TUALES","TÉCNICOS DE NIVEL MEDIO Y TRABAJ. ASIMIL","JEFES Y EMPLEA-DOS DE OFICINA","TRAB. DE. SERV. PERS. Y VEND. DEL COMERCIO Y MCDO.","AGRICULT. TRABAJ. CALIFICA-DO., AGROP. Y PESQUE-ROS.","OBREROS Y OPER. MINAS, CANTERAS, IND. MANUF. Y OTROS","OBR. CONST. CONF. PAPEL Y CARTÓN, FAB. INSTR. MUSI-CALES. Y AFINES","TRABAJ. NO CALIF. SERV. PEON, VEND. AMBU-LANTE Y AFINES",OTRA,"OCUPA-CIÓN NO ESPECI-FICADA"
,,,,,,,,,,,,
"Provincia CARHUAZ (000)",12769,49,682,250,274,1094,5009,593,786,3705,33,294
"Agric., ganadería, caza y silvicultura (001)",7348,,8,4,1,,5009,,2,2324,,
"Pesca (002)",4,,,,,,,,,4,,
"Explotación de minas y canteras (003)",145,,10,4,2,,,66,5,58,,
"Industrias manufactureras (004)",457,,5,7,7,6,,416,9,7,,
"Suministro de electricidad, gas y agua (005)",11,,,,2,,,3,1,5,,
"Construcción (006)",537,,14,9,3,,,12,267,232,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",1234,,7,24,2,827,,83,9,282,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",84,,1,4,,13,,59,7,,,
"Comercio al por mayor (009)",53,,1,3,,44,,,2,3,,
"Comercio al por menor (010)",1097,,5,17,2,770,,24,,279,,
"Hoteles y restaurantes (011)",350,,4,7,7,209,,1,,122,,
"Trans., almac. y comunicaciones (012)",595,,1,9,14,5,,2,457,107,,
"Intermediación financiera (013)",4,,1,,3,,,,,,,
"Activid.inmobil., empres. y alquileres (014)",202,,52,43,43,14,,1,11,38,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",396,41,28,22,140,5,,3,16,108,33,
"Enseñanza (016)",508,8,468,1,22,,,,,9,,
"Servicios sociales y de salud (017)",124,,46,60,7,3,,2,3,3,,
"Otras activ. serv.comun.soc y personales (018)",245,,38,59,17,25,,4,6,96,,
"Hogares privados con servicio doméstico (019)",310,,,,,,,,,310,,
"Actividad economica no especificada (021)",299,,,1,4,,,,,,,294
"Hombres (022)",9458,41,391,174,163,411,4524,500,773,2357,33,91
"Agric., ganadería, caza y silvicultura (023)",6158,,8,4,,,4524,,2,1620,,
"Pesca (024)",4,,,,,,,,,4,,
"Explotación de minas y canteras (025)",139,,10,4,1,,,63,5,56,,
"Industrias manufactureras (026)",359,,2,5,6,4,,329,6,7,,
"Suministro de electricidad, gas y agua (027)",10,,,,2,,,3,1,4,,
"Construcción (028)",518,,12,9,3,,,11,263,220,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",552,,7,19,1,315,,81,9,120,,
"Venta, mant.y rep. veh.autom.y motoc. (030)",75,,1,4,,6,,57,7,,,
"Comercio al por mayor (031)",32,,1,2,,26,,,2,1,,
"Comercio al por menor (032)",445,,5,13,1,283,,24,,119,,
"Hoteles y restaurantes (033)",109,,3,2,4,64,,1,,35,,
"Trans., almac. y comunicaciones (034)",566,,,5,7,5,,2,452,95,,
"Intermediación financiera (035)",3,,1,,2,,,,,,,
"Activid.inmobil., empres. y alquileres (036)",155,,36,34,28,14,,1,11,31,,
"Admin.pub. y defensa; p. segur.soc.afil (037)",295,35,17,11,82,5,,3,15,94,33,
"Enseñanza (038)",271,6,242,1,15,,,,,7,,
"Servicios sociales y de salud (039)",56,,18,25,4,1,,2,3,3,,
"Otras activ. serv.comun.soc y personales (040)",164,,35,54,7,3,,4,6,55,,
"Hogares privados con servicio doméstico (041)",6,,,,,,,,,6,,
"Actividad economica no especificada (043)",93,,,1,1,,,,,,,91
"Mujeres (044)",3311,8,291,76,111,683,485,93,13,1348,,203
"Agric., ganadería, caza y silvicultura (045)",1190,,,,1,,485,,,704,,
"Explotación de minas y canteras (047)",6,,,,1,,,3,,2,,
"Industrias manufactureras (048)",98,,3,2,1,2,,87,3,,,
"Suministro de electricidad, gas y agua (049)",1,,,,,,,,,1,,
"Construcción (050)",19,,2,,,,,1,4,12,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (051)",682,,,5,1,512,,2,,162,,
"Venta, mant.y rep. veh.autom.y motoc. (052)",9,,,,,7,,2,,,,
"Comercio al por mayor (053)",21,,,1,,18,,,,2,,
"Comercio al por menor (054)",652,,,4,1,487,,,,160,,
"Hoteles y restaurantes (055)",241,,1,5,3,145,,,,87,,
"Trans., almac. y comunicaciones (056)",29,,1,4,7,,,,5,12,,
"Intermediación financiera (057)",1,,,,1,,,,,,,
"Activid.inmobil., empres. y alquileres (058)",47,,16,9,15,,,,,7,,
"Admin.pub. y defensa; p. segur.soc.afil (059)",101,6,11,11,58,,,,1,14,,
"Enseñanza (060)",237,2,226,,7,,,,,2,,
"Servicios sociales y de salud (061)",68,,28,35,3,2,,,,,,
"Otras activ. serv.comun.soc y personales (062)",81,,3,5,10,22,,,,41,,
"Hogares privados con servicio doméstico (063)",304,,,,,,,,,304,,
"Actividad economica no especificada (065)",206,,,,3,,,,,,,203
,,,,,,,,,,,,
"URBANA (066)",5200,30,534,168,187,801,1100,359,466,1371,29,155
"Agric., ganadería, caza y silvicultura (067)",1787,,6,3,1,,1100,,1,676,,
"Explotación de minas y canteras (069)",56,,7,4,1,,,17,3,24,,
"Industrias manufactureras (070)",290,,5,6,7,6,,259,5,2,,
"Suministro de electricidad, gas y agua (071)",3,,,,,,,1,,2,,
"Construcción (072)",254,,13,6,,,,7,150,78,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (073)",873,,5,19,1,614,,64,4,166,,
"Venta, mant.y rep. veh.autom.y motoc. (074)",61,,,4,,9,,44,4,,,
"Comercio al por mayor (075)",31,,1,2,,26,,,,2,,
"Comercio al por menor (076)",781,,4,13,1,579,,20,,164,,
"Hoteles y restaurantes (077)",260,,4,4,4,148,,1,,99,,
"Trans., almac. y comunicaciones (078)",358,,1,7,10,,,2,279,59,,
"Intermediación financiera (079)",3,,1,,2,,,,,,,
"Activid.inmobil., empres. y alquileres (080)",143,,47,29,29,6,,1,8,23,,
"Admin.pub. y defensa; p. segur.soc.afil (081)",248,22,24,18,103,4,,3,10,35,29,
"Enseñanza (082)",381,8,362,1,9,,,,,1,,
"Servicios sociales y de salud (083)",86,,37,39,5,1,,,2,2,,
"Otras activ. serv.comun.soc y personales (084)",151,,22,31,12,22,,4,4,56,,
"Hogares privados con servicio doméstico (085)",148,,,,,,,,,148,,
"Actividad economica no especificada (087)",159,,,1,3,,,,,,,155
"Hombres (088)",3409,24,299,113,102,298,953,297,458,781,29,55
"Agric., ganadería, caza y silvicultura (089)",1423,,6,3,,,953,,1,460,,
"Explotación de minas y canteras (091)",53,,7,4,,,,17,3,22,,
"Industrias manufactureras (092)",220,,2,4,6,4,,199,3,2,,
"Suministro de electricidad, gas y agua (093)",2,,,,,,,1,,1,,
"Construcción (094)",248,,11,6,,,,7,147,77,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (095)",381,,5,14,1,233,,62,4,62,,
"Venta, mant.y rep. veh.autom.y motoc. (096)",53,,,4,,3,,42,4,,,
"Comercio al por mayor (097)",21,,1,1,,18,,,,1,,
"Comercio al por menor (098)",307,,4,9,1,212,,20,,61,,
"Hoteles y restaurantes (099)",78,,3,,2,48,,1,,24,,
"Trans., almac. y comunicaciones (100)",338,,,5,4,,,2,277,50,,
"Intermediación financiera (101)",2,,1,,1,,,,,,,
"Activid.inmobil., empres. y alquileres (102)",107,,33,24,17,6,,1,8,18,,
"Admin.pub. y defensa; p. segur.soc.afil (103)",170,18,15,9,59,4,,3,9,24,29,
"Enseñanza (104)",195,6,183,1,4,,,,,1,,
"Servicios sociales y de salud (105)",36,,14,15,3,,,,2,2,,
"Otras activ. serv.comun.soc y personales (106)",95,,19,27,5,3,,4,4,33,,
"Hogares privados con servicio doméstico (107)",5,,,,,,,,,5,,
"Actividad economica no especificada (109)",56,,,1,,,,,,,,55
"Mujeres (110)",1791,6,235,55,85,503,147,62,8,590,,100
"Agric., ganadería, caza y silvicultura (111)",364,,,,1,,147,,,216,,
"Explotación de minas y canteras (113)",3,,,,1,,,,,2,,
"Industrias manufactureras (114)",70,,3,2,1,2,,60,2,,,
"Suministro de electricidad, gas y agua (115)",1,,,,,,,,,1,,
"Construcción (116)",6,,2,,,,,,3,1,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (117)",492,,,5,,381,,2,,104,,
"Venta, mant.y rep. veh.autom.y motoc. (118)",8,,,,,6,,2,,,,
"Comercio al por mayor (119)",10,,,1,,8,,,,1,,
"Comercio al por menor (120)",474,,,4,,367,,,,103,,
"Hoteles y restaurantes (121)",182,,1,4,2,100,,,,75,,
"Trans., almac. y comunicaciones (122)",20,,1,2,6,,,,2,9,,
"Intermediación financiera (123)",1,,,,1,,,,,,,
"Activid.inmobil., empres. y alquileres (124)",36,,14,5,12,,,,,5,,
"Admin.pub. y defensa; p. segur.soc.afil (125)",78,4,9,9,44,,,,1,11,,
"Enseñanza (126)",186,2,179,,5,,,,,,,
"Servicios sociales y de salud (127)",50,,23,24,2,1,,,,,,
"Otras activ. serv.comun.soc y personales (128)",56,,3,4,7,19,,,,23,,
"Hogares privados con servicio doméstico (129)",143,,,,,,,,,143,,
"Actividad economica no especificada (131)",103,,,,3,,,,,,,100
,,,,,,,,,,,,
"RURAL (132)",7569,19,148,82,87,293,3909,234,320,2334,4,139
"Agric., ganadería, caza y silvicultura (133)",5561,,2,1,,,3909,,1,1648,,
"Pesca (134)",4,,,,,,,,,4,,
"Explotación de minas y canteras (135)",89,,3,,1,,,49,2,34,,
"Industrias manufactureras (136)",167,,,1,,,,157,4,5,,
"Suministro de electricidad, gas y agua (137)",8,,,,2,,,2,1,3,,
"Construcción (138)",283,,1,3,3,,,5,117,154,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (139)",361,,2,5,1,213,,19,5,116,,
"Venta, mant.y rep. veh.autom.y motoc. (140)",23,,1,,,4,,15,3,,,
"Comercio al por mayor (141)",22,,,1,,18,,,2,1,,
"Comercio al por menor (142)",316,,1,4,1,191,,4,,115,,
"Hoteles y restaurantes (143)",90,,,3,3,61,,,,23,,
"Trans., almac. y comunicaciones (144)",237,,,2,4,5,,,178,48,,
"Intermediación financiera (145)",1,,,,1,,,,,,,
"Activid.inmobil., empres. y alquileres (146)",59,,5,14,14,8,,,3,15,,
"Admin.pub. y defensa; p. segur.soc.afil (147)",148,19,4,4,37,1,,,6,73,4,
"Enseñanza (148)",127,,106,,13,,,,,8,,
"Servicios sociales y de salud (149)",38,,9,21,2,2,,2,1,1,,
"Otras activ. serv.comun.soc y personales (150)",94,,16,28,5,3,,,2,40,,
"Hogares privados con servicio doméstico (151)",162,,,,,,,,,162,,
"Actividad economica no especificada (153)",140,,,,1,,,,,,,139
"Hombres (154)",6049,17,92,61,61,113,3571,203,315,1576,4,36
"Agric., ganadería, caza y silvicultura (155)",4735,,2,1,,,3571,,1,1160,,
"Pesca (156)",4,,,,,,,,,4,,
"Explotación de minas y canteras (157)",86,,3,,1,,,46,2,34,,
"Industrias manufactureras (158)",139,,,1,,,,130,3,5,,
"Suministro de electricidad, gas y agua (159)",8,,,,2,,,2,1,3,,
"Construcción (160)",270,,1,3,3,,,4,116,143,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (161)",171,,2,5,,82,,19,5,58,,
"Venta, mant.y rep. veh.autom.y motoc. (162)",22,,1,,,3,,15,3,,,
"Comercio al por mayor (163)",11,,,1,,8,,,2,,,
"Comercio al por menor (164)",138,,1,4,,71,,4,,58,,
"Hoteles y restaurantes (165)",31,,,2,2,16,,,,11,,
"Trans., almac. y comunicaciones (166)",228,,,,3,5,,,175,45,,
"Intermediación financiera (167)",1,,,,1,,,,,,,
"Activid.inmobil., empres. y alquileres (168)",48,,3,10,11,8,,,3,13,,
"Admin.pub. y defensa; p. segur.soc.afil (169)",125,17,2,2,23,1,,,6,70,4,
"Enseñanza (170)",76,,59,,11,,,,,6,,
"Servicios sociales y de salud (171)",20,,4,10,1,1,,2,1,1,,
"Otras activ. serv.comun.soc y personales (172)",69,,16,27,2,,,,2,22,,
"Hogares privados con servicio doméstico (173)",1,,,,,,,,,1,,
"Actividad economica no especificada (175)",37,,,,1,,,,,,,36
"Mujeres (176)",1520,2,56,21,26,180,338,31,5,758,,103
"Agric., ganadería, caza y silvicultura (177)",826,,,,,,338,,,488,,
"Explotación de minas y canteras (179)",3,,,,,,,3,,,,
"Industrias manufactureras (180)",28,,,,,,,27,1,,,
"Construcción (182)",13,,,,,,,1,1,11,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (183)",190,,,,1,131,,,,58,,
"Venta, mant.y rep. veh.autom.y motoc. (184)",1,,,,,1,,,,,,
"Comercio al por mayor (185)",11,,,,,10,,,,1,,
"Comercio al por menor (186)",178,,,,1,120,,,,57,,
"Hoteles y restaurantes (187)",59,,,1,1,45,,,,12,,
"Trans., almac. y comunicaciones (188)",9,,,2,1,,,,3,3,,
"Activid.inmobil., empres. y alquileres (190)",11,,2,4,3,,,,,2,,
"Admin.pub. y defensa; p. segur.soc.afil (191)",23,2,2,2,14,,,,,3,,
"Enseñanza (192)",51,,47,,2,,,,,2,,
"Servicios sociales y de salud (193)",18,,5,11,1,1,,,,,,
"Otras activ. serv.comun.soc y personales (194)",25,,,1,3,3,,,,18,,
"Hogares privados con servicio doméstico (195)",161,,,,,,,,,161,,
"Actividad economica no especificada (197)",103,,,,,,,,,,,103
