"CUADRO Nº 4: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia UCAYALI (000)",13386,12810,66,2039,2098,1821,3023,2077,1149,537,576,53996
"De 12 a 14 años (001)",62,28,3,20,5,,,,,,34,30
"De 15 a 19 años (002)",1111,983,14,682,239,39,9,,,,128,1313
"De 20 a 24 años (003)",1939,1759,11,616,637,370,115,10,,,180,3549
"De 25 a 29 años (004)",1970,1876,7,314,545,454,487,63,6,,94,5304
"De 30 a 34 años (005)",1741,1699,5,145,268,350,652,235,40,4,42,6493
"De 35 a 39 años (006)",1574,1556,5,68,138,225,561,394,141,24,18,7468
"De 40 a 44 años (007)",1308,1297,7,64,77,143,412,347,187,60,11,6925
"De 45 a 49 años (008)",1024,1016,3,35,68,91,267,298,191,63,8,5870
"De 50 y más años (009)",2657,2596,11,95,121,149,520,730,584,386,61,17044
"Sin nivel (010)",705,680,7,40,54,56,167,191,116,49,25,3821
"De 15 a 19 años (012)",12,12,,7,4,1,,,,,,18
"De 20 a 24 años (013)",21,19,,4,6,6,2,1,,,2,50
"De 25 a 29 años (014)",33,31,1,5,7,8,9,1,,,2,89
"De 30 a 34 años (015)",41,40,,4,5,2,19,7,2,1,1,180
"De 35 a 39 años (016)",47,45,1,2,1,4,11,18,6,2,2,250
"De 40 a 44 años (017)",64,63,,6,4,5,20,11,11,6,1,347
"De 45 a 49 años (018)",62,60,,2,8,3,16,18,12,1,2,328
"De 50 y más años (019)",425,410,5,10,19,27,90,135,85,39,15,2559
"Educacion Inicial (020)",13,12,,3,1,2,1,4,1,,1,50
"De 20 a 24 años (023)",3,3,,3,,,,,,,,3
"De 25 a 29 años (024)",4,3,,,1,1,,,1,,1,13
