"CUADRO Nº 8: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia JULCAN (000)",11317,34556,31078,,711,89.9,2.1
"De 12 a 14 años (001)",1352,3,2,,1,66.7,33.3
"De 15 a 19 años (002)",1506,288,283,88,98.3,30.6,
"De 20 a 24 años (003)",1253,1447,1403,194,97,13.4,
"De 25 a 29 años (004)",1066,2271,2194,156,96.6,6.9,
"De 30 a 34 años (005)",1026,2958,2855,130,96.5,4.4,
"De 35 a 39 años (006)",1035,4099,3907,95,95.3,2.3,
"De 40 a 44 años (007)",842,3769,3539,39,93.9,1,
"De 45 a 49 años (008)",671,3664,3364,8,91.8,0.2,
"De 50 y más años (009)",2566,16057,13531,,84.3,,
"Conviviente (010)",3872,14701,13494,492,91.8,3.3,
"De 12 a 14 años (011)",10,1,,,,,
"De 15 a 19 años (012)",277,188,183,61,97.3,32.4,
"De 20 a 24 años (013)",611,985,958,134,97.3,13.6,
"De 25 a 29 años (014)",587,1508,1464,120,97.1,8,
"De 30 a 34 años (015)",537,1754,1700,86,96.9,4.9,
"De 35 a 39 años (016)",507,2182,2077,61,95.2,2.8,
"De 40 a 44 años (017)",381,1889,1774,27,93.9,1.4,
"De 45 a 49 años (018)",277,1654,1504,3,90.9,0.2,
"De 50 y más años (019)",685,4540,3834,,84.4,,
"Separado(a) (020)",475,1307,1212,30,92.7,2.3,
"De 15 a 19 años (022)",26,26,26,7,100,26.9,
"De 20 a 24 años (023)",71,95,92,12,96.8,12.6,
"De 25 a 29 años (024)",60,95,94,3,98.9,3.2,
"De 30 a 34 años (025)",63,129,126,4,97.7,3.1,
"De 35 a 39 años (026)",64,169,165,3,97.6,1.8,
"De 40 a 44 años (027)",52,198,191,,96.5,,
"De 45 a 49 años (028)",34,143,133,1,93,0.7,
"De 50 y más años (029)",105,452,385,,85.2,,
"Casado(a) (030)",2591,12901,11690,149,90.6,1.2,
"De 12 a 14 años (031)",2,,,,,,
"De 15 a 19 años (032)",30,31,31,8,100,25.8,
"De 20 a 24 años (033)",154,254,242,31,95.3,12.2,
"De 25 a 29 años (034)",214,559,530,27,94.8,4.8,
"De 30 a 34 años (035)",275,913,869,36,95.2,3.9,
"De 35 a 39 años (036)",346,1562,1489,31,95.3,2,
"De 40 a 44 años (037)",311,1449,1358,12,93.7,0.8,
