"CUADRO Nº 2: VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia PICOTA (000)",9816,5763,4053
"Casa independiente (001)",8044,5597,2447
"Departamento en edificio (002)",2,2,
"Vivienda en quinta (003)",55,55,
"Vivienda en casa de vecindad (004)",25,25,
"Choza o cabaña (005)",1599,,1599
"Vivienda improvisada (006)",69,69,
"Local no dest.para hab. humana (007)",16,15,1
"Otro tipo (008)",6,,6
