"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia SANTIAGO DE CHUCO (000)",56089,19753,36336
"Casa independiente (001)",53960,18895,35065
"Departamento en edificio (002)",395,395,
"Vivienda en quinta (003)",34,34,
"Vivienda en casa de vecindad (004)",387,387,
"Choza o cabaña (005)",1268,,1268
"Vivienda improvisada (006)",26,26,
"Local no dest.para hab. humana (007)",19,16,3
