"CUADRO Nº 11: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia LAMPA (000)",13785,10563,924,669,1629
"Sin nivel (001)",924,877,38,3,6
"Educación inicial (002)",9,9,,,
"Primaria (003)",5456,5091,225,56,84
"Secundaria (004)",4879,3551,327,261,740
"Superior no univ. incompleta (005)",551,311,69,60,111
"Superior no univ. completa (006)",957,363,116,139,339
"Superior univ. incompleta (007)",220,119,22,12,67
"Superior univ. completa (008)",789,242,127,138,282
"De 06 a 14 años (010)",125,107,15,1,2
"Sin nivel (011)",7,3,4,,
"Educación inicial (012)",1,1,,,
"Primaria (013)",83,73,7,1,2
"Secundaria (014)",34,30,4,,
"De 15 a 29 años (020)",3998,2897,313,191,597
"Sin nivel (021)",44,42,2,,
"Educación inicial (022)",5,5,,,
"Primaria (023)",891,821,47,12,11
"Secundaria (024)",2244,1644,159,111,330
"Superior no univ. incompleta (025)",231,130,28,28,45
"Superior no univ. completa (026)",314,136,37,20,121
"Superior univ. incompleta (027)",94,54,11,4,25
"Superior univ. completa (028)",175,65,29,16,65
"De 30 a 44 años (030)",4649,3267,345,324,713
"Sin nivel (031)",90,81,7,,2
"Educación inicial (032)",3,3,,,
"Primaria (033)",1624,1481,78,24,41
"Secundaria (034)",1809,1266,117,118,308
"Superior no univ. incompleta (035)",227,122,26,27,52
"Superior no univ. completa (036)",435,161,52,76,146
"Superior univ. incompleta (037)",89,46,8,7,28
"Superior univ. completa (038)",372,107,57,72,136
"De 45 a 64 años (040)",3817,3138,226,152,301
"Sin nivel (041)",385,365,16,3,1
"Primaria (043)",2159,2031,82,19,27
"Secundaria (044)",729,554,45,31,99
"Superior no univ. incompleta (045)",88,57,15,5,11
"Superior no univ. completa (046)",190,53,25,43,69
"Superior univ. incompleta (047)",35,17,3,1,14
"Superior univ. completa (048)",231,61,40,50,80
"De 65 y más años (050)",1196,1154,25,1,16
"Sin nivel (051)",398,386,9,,3
"Primaria (053)",699,685,11,,3
"Secundaria (054)",63,57,2,1,3
"Superior no univ. incompleta (055)",5,2,,,3
"Superior no univ. completa (056)",18,13,2,,3
"Superior univ. incompleta (057)",2,2,,,
"Superior univ. completa (058)",11,9,1,,1
,,,,,
"URBANA (060)",4817,3226,434,417,740
