"CUADRO Nº 2: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia CARLOS FERMIN FITZCARRALD (000)",7719,7484,2231,777,742,647,1139,857,611,480,235,25308
"De 12 a 14 años (001)",902,893,892,1,,,,,,,9,1
"De 15 a 19 años (002)",1109,1081,929,129,19,3,1,,,,28,180
"De 20 a 24 años (003)",754,680,202,276,147,42,13,,,,74,750
"De 25 a 29 años (004)",704,653,67,159,185,146,81,15,,,51,1407
"De 30 a 34 años (005)",663,644,31,86,151,125,183,58,10,,19,2025
"De 35 a 39 años (006)",562,555,7,25,71,89,199,119,36,9,7,2471
"De 40 a 44 años (007)",519,513,12,17,37,71,151,117,70,38,6,2732
"De 45 a 49 años (008)",453,449,14,6,26,37,101,123,69,73,4,2810
"De 50 y más años (009)",2053,2016,77,78,106,134,410,425,426,360,37,12932
"Conviviente (010)",1687,1627,118,393,329,232,297,150,61,47,60,5084
"De 12 a 14 años (011)",10,2,1,1,,,,,,,8,1
"De 15 a 19 años (012)",167,141,39,84,15,2,1,,,,26,124
"De 20 a 24 años (013)",349,339,38,175,90,30,6,,,,10,471
"De 25 a 29 años (014)",355,349,16,75,119,86,48,5,,,6,806
"De 30 a 34 años (015)",266,263,7,34,51,55,88,23,5,,3,885
"De 35 a 39 años (016)",179,179,2,9,27,27,66,37,9,2,,774
"De 40 a 44 años (017)",102,100,,3,7,12,36,26,12,4,2,524
"De 45 a 49 años (018)",86,84,3,2,7,7,16,26,14,9,2,500
"De 50 y más años (019)",173,170,12,10,13,13,36,33,21,32,3,999
"Separado(a) (020)",256,252,2,79,54,23,36,38,12,8,4,843
"De 15 a 19 años (022)",12,11,,10,1,,,,,,1,12
"De 20 a 24 años (023)",36,36,1,23,11,1,,,,,,48
"De 25 a 29 años (024)",39,39,,23,8,3,,5,,,,79
