"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia REQUENA (000)",12133,64780,6785,36704,5348,28076
"Casa independiente (001)",10130,54479,6632,36073,3498,18406
"Departamento en edificio (002)",5,13,5,13,,
"Vivienda en quinta (003)",72,291,72,291,,
"Vivienda en casa de vecindad (004)",6,25,6,25,,
"Choza o cabaña (005)",1837,9614,,,1837,9614
"Vivienda improvisada (006)",58,252,58,252,,
"Local no dest.para hab. humana (007)",15,52,10,40,5,12
"Otro tipo (008)",10,54,2,10,8,44
