"CUADRO Nº 6: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia MARISCAL RAMON CASTILLA (000)",16835,520,6606,5341,3571,797
"Miembros p.ejec.y leg. direct., adm. pub.y emp. (001)",37,,5,22,10,
"Profes., científicos e intelectuales (002)",958,,202,528,220,8
"Técnicos de nivel medio y trab. asimilados (003)",242,1,81,93,65,2
"Jefes y empleados de oficina (004)",215,,72,92,47,4
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",1105,29,425,395,229,27
"Agricult. trabaj. calif.agrop. y pesqueros (006)",7390,,2339,2472,1987,592
"Obreros y oper.minas, cant.,ind.manuf. y otros (007)",652,7,322,206,106,11
"Obreros construc., conf., papel, fab., instr. (008)",300,,134,114,48,4
"Trabaj.no calif. serv., peon, vend.,amb.,y afines (009)",5345,479,2710,1232,793,131
"Otra (010)",219,,146,68,5,
"Ocupación no especificada (011)",372,4,170,119,61,18
"Hombres (012)",12563,343,4969,3954,2672,625
"Miembros p.ejec.y leg. direct., adm. pub.y emp. (013)",26,,4,14,8,
"Profes., científicos e intelectuales (014)",571,,94,313,159,5
"Técnicos de nivel medio y trab. asimilados (015)",174,1,54,71,47,1
"Jefes y empleados de oficina (016)",131,,35,57,36,3
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",553,14,201,183,132,23
"Agricult. trabaj. calif.agrop. y pesqueros (018)",6654,,2023,2302,1816,513
"Obreros y oper.minas, cant.,ind.manuf. y otros (019)",598,6,305,182,96,9
"Obreros construc., conf., papel, fab., instr. (020)",288,,130,110,44,4
"Trabaj.no calif. serv., peon, vend.,amb.,y afines (021)",3151,320,1891,589,295,56
"Otra (022)",215,,143,68,4,
"Ocupación no especificada (023)",202,2,89,65,35,11
"Mujeres (024)",4272,177,1637,1387,899,172
"Miembros p.ejec.y leg. direct., adm. pub.y emp. (025)",11,,1,8,2,
"Profes., científicos e intelectuales (026)",387,,108,215,61,3
"Técnicos de nivel medio y trab. asimilados (027)",68,,27,22,18,1
"Jefes y empleados de oficina (028)",84,,37,35,11,1
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",552,15,224,212,97,4
"Agricult. trabaj. calif.agrop. y pesqueros (030)",736,,316,170,171,79
"Obreros y oper.minas, cant.,ind.manuf. y otros (031)",54,1,17,24,10,2
"Obreros construc., conf., papel, fab., instr. (032)",12,,4,4,4,
"Trabaj.no calif. serv., peon, vend.,amb.,y afines (033)",2194,159,819,643,498,75
