"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia CAYLLOMA (000)",72062,48162,23900
"Casa independiente (001)",58485,40287,18198
"Departamento en edificio (002)",274,274,
"Vivienda en quinta (003)",619,619,
"Vivienda en casa de vecindad (004)",2192,2192,
"Choza o cabaña (005)",5685,,5685
"Vivienda improvisada (006)",4633,4633,
"Local no dest.para hab. humana (007)",137,123,14
"Otro tipo (008)",37,34,3
