"CUADRO Nº 21: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"CATEGORIA DE OCUPACION",,,,,,DESOCUPADO
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR",
,,,,,,,,
"Provincia HUANCABAMBA (000)",33235,2933,2545,18775,369,5708,511,2394
"Agric., ganadería, caza y silvicultura (001)",22028,24,1436,15148,300,5120,,
"Pesca (002)",8,,8,,,,,
"Explotación de minas y canteras (003)",15,5,7,3,,,,
"Industrias manufactureras (004)",1171,11,216,762,9,173,,
"Suministro de electricidad, gas y agua (005)",37,4,26,4,1,2,,
"Construcción (006)",813,87,522,170,9,25,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",1403,88,29,1115,16,155,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",101,6,20,71,,4,,
"Comercio al por mayor (009)",69,9,,46,2,12,,
"Comercio al por menor (010)",1233,73,9,998,14,139,,
"Hoteles y restaurantes (011)",325,87,23,188,7,20,,
"Trans., almac. y comunicaciones (012)",611,137,76,376,8,14,,
"Intermediación financiera (013)",15,15,,,,,,
"Activid.inmobil., empres. y alquileres (014)",257,203,19,30,3,2,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",504,427,77,,,,,
"Enseñanza (016)",1811,1393,,415,1,2,,
"Servicios sociales y de salud (017)",267,235,,28,1,3,,
"Otras activ. serv.comun.soc y personales (018)",234,104,15,105,1,9,,
"Hogares privados con servicio doméstico (019)",511,,,,,,511,
"Actividad economica no especificada (021)",831,113,91,431,13,183,,
"Desocupado (022)",2394,,,,,,,2394
"Hombres (023)",25942,1667,2094,16116,322,3764,25,1954
"Agric., ganadería, caza y silvicultura (024)",19243,22,1164,14156,287,3614,,
"Pesca (025)",8,,8,,,,,
"Explotación de minas y canteras (026)",12,2,7,3,,,,
"Industrias manufactureras (027)",483,7,147,300,5,24,,
"Suministro de electricidad, gas y agua (028)",36,4,25,4,1,2,,
"Construcción (029)",793,85,509,165,9,25,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (030)",833,46,26,704,6,51,,
"Venta, mant.y rep. veh.autom.y motoc. (031)",90,6,18,64,,2,,
"Comercio al por mayor (032)",41,5,,32,,4,,
"Comercio al por menor (033)",702,35,8,608,6,45,,
"Hoteles y restaurantes (034)",94,39,12,39,2,2,,
"Trans., almac. y comunicaciones (035)",580,118,70,371,8,13,,
"Intermediación financiera (036)",8,8,,,,,,
"Activid.inmobil., empres. y alquileres (037)",158,118,15,21,2,2,,
"Admin.pub. y defensa; p. segur.soc.afil (038)",359,302,57,,,,,
"Enseñanza (039)",905,711,,193,,1,,
"Servicios sociales y de salud (040)",129,101,,25,1,2,,
"Otras activ. serv.comun.soc y personales (041)",118,68,8,39,1,2,,
"Hogares privados con servicio doméstico (042)",25,,,,,,25,
"Actividad economica no especificada (044)",204,36,46,96,,26,,
"Desocupado (045)",1954,,,,,,,1954
"Mujeres (046)",7293,1266,451,2659,47,1944,486,440
"Agric., ganadería, caza y silvicultura (047)",2785,2,272,992,13,1506,,
"Explotación de minas y canteras (049)",3,3,,,,,,
"Industrias manufactureras (050)",688,4,69,462,4,149,,
"Suministro de electricidad, gas y agua (051)",1,,1,,,,,
"Construcción (052)",20,2,13,5,,,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (053)",570,42,3,411,10,104,,
"Venta, mant.y rep. veh.autom.y motoc. (054)",11,,2,7,,2,,
"Comercio al por mayor (055)",28,4,,14,2,8,,
"Comercio al por menor (056)",531,38,1,390,8,94,,
"Hoteles y restaurantes (057)",231,48,11,149,5,18,,
"Trans., almac. y comunicaciones (058)",31,19,6,5,,1,,
"Intermediación financiera (059)",7,7,,,,,,
"Activid.inmobil., empres. y alquileres (060)",99,85,4,9,1,,,
"Admin.pub. y defensa; p. segur.soc.afil (061)",145,125,20,,,,,
"Enseñanza (062)",906,682,,222,1,1,,
"Servicios sociales y de salud (063)",138,134,,3,,1,,
"Otras activ. serv.comun.soc y personales (064)",116,36,7,66,,7,,
"Hogares privados con servicio doméstico (065)",486,,,,,,486,
"Actividad economica no especificada (067)",627,77,45,335,13,157,,
,,,,,,,,
"URBANA (068)",5670,1866,537,2340,32,332,239,324
"Agric., ganadería, caza y silvicultura (069)",952,15,176,598,4,159,,
"Pesca (070)",1,,1,,,,,
"Explotación de minas y canteras (071)",6,3,3,,,,,
"Industrias manufactureras (072)",248,5,34,194,4,11,,
"Suministro de electricidad, gas y agua (073)",7,2,5,,,,,
"Construcción (074)",286,24,178,69,3,12,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (075)",906,57,18,715,8,108,,
"Venta, mant.y rep. veh.autom.y motoc. (076)",76,5,12,58,,1,,
"Comercio al por mayor (077)",45,7,,28,2,8,,
"Comercio al por menor (078)",785,45,6,629,6,99,,
"Hoteles y restaurantes (079)",201,42,5,141,3,10,,
"Trans., almac. y comunicaciones (080)",407,105,37,254,5,6,,
"Intermediación financiera (081)",15,15,,,,,,
"Activid.inmobil., empres. y alquileres (082)",196,162,6,24,3,1,,
"Admin.pub. y defensa; p. segur.soc.afil (083)",364,325,39,,,,,
"Enseñanza (084)",1056,850,,203,1,2,,
"Servicios sociales y de salud (085)",165,146,,18,1,,,
"Otras activ. serv.comun.soc y personales (086)",142,66,5,69,,2,,
"Hogares privados con servicio doméstico (087)",239,,,,,,239,
"Actividad economica no especificada (089)",155,49,30,55,,21,,
"Desocupado (090)",324,,,,,,,324
"Hombres (091)",3505,1005,463,1601,20,179,5,232
"Agric., ganadería, caza y silvicultura (092)",824,15,146,539,4,120,,
"Pesca (093)",1,,1,,,,,
"Explotación de minas y canteras (094)",4,1,3,,,,,
"Industrias manufactureras (095)",196,4,33,148,3,8,,
"Suministro de electricidad, gas y agua (096)",7,2,5,,,,,
"Construcción (097)",277,24,170,68,3,12,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (098)",495,29,16,425,1,24,,
"Venta, mant.y rep. veh.autom.y motoc. (099)",66,5,10,51,,,,
"Comercio al por mayor (100)",22,3,,18,,1,,
"Comercio al por menor (101)",407,21,6,356,1,23,,
"Hoteles y restaurantes (102)",50,15,4,29,1,1,,
"Trans., almac. y comunicaciones (103)",381,87,33,251,5,5,,
"Intermediación financiera (104)",8,8,,,,,,
"Activid.inmobil., empres. y alquileres (105)",110,86,5,16,2,1,,
"Admin.pub. y defensa; p. segur.soc.afil (106)",254,229,25,,,,,
"Enseñanza (107)",440,382,,57,,1,,
"Servicios sociales y de salud (108)",74,57,,16,1,,,
"Otras activ. serv.comun.soc y personales (109)",77,46,2,28,,1,,
"Hogares privados con servicio doméstico (110)",5,,,,,,5,
"Actividad economica no especificada (112)",70,20,20,24,,6,,
"Desocupado (113)",232,,,,,,,232
"Mujeres (114)",2165,861,74,739,12,153,234,92
"Agric., ganadería, caza y silvicultura (115)",128,,30,59,,39,,
"Explotación de minas y canteras (117)",2,2,,,,,,
"Industrias manufactureras (118)",52,1,1,46,1,3,,
"Construcción (120)",9,,8,1,,,,
