"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia SANTIAGO DE CHUCO (000)",12871,56089,4619,19753,8252,36336
"Casa independiente (001)",12402,53960,4421,18895,7981,35065
"Departamento en edificio (002)",89,395,89,395,,
"Vivienda en quinta (003)",11,34,11,34,,
"Vivienda en casa de vecindad (004)",86,387,86,387,,
"Choza o cabaña (005)",270,1268,,,270,1268
"Vivienda improvisada (006)",5,26,5,26,,
"Local no dest.para hab. humana (007)",8,19,7,16,1,3
