"CUADRO Nº 21: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"CATEGORIA DE OCUPACION",,,,,,DESOCUPADO
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR",
,,,,,,,,
"Provincia ACOMAYO (000)",7746,679,1064,4038,195,1443,69,258
"Agric., ganadería, caza y silvicultura (001)",5132,13,430,3262,170,1257,,
"Pesca (002)",2,,1,1,,,,
"Explotación de minas y canteras (003)",14,,14,,,,,
"Industrias manufactureras (004)",167,3,53,95,4,12,,
"Suministro de electricidad, gas y agua (005)",14,1,3,,1,9,,
"Construcción (006)",440,5,368,45,3,19,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",404,29,4,314,6,51,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",15,1,3,10,1,,,
"Comercio al por mayor (009)",18,,,14,,4,,
"Comercio al por menor (010)",371,28,1,290,5,47,,
"Hoteles y restaurantes (011)",134,41,13,71,1,8,,
"Trans., almac. y comunicaciones (012)",92,28,14,49,1,,,
"Intermediación financiera (013)",1,1,,,,,,
"Activid.inmobil., empres. y alquileres (014)",48,29,7,11,1,,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",219,139,80,,,,,
"Enseñanza (016)",325,285,1,36,1,2,,
"Servicios sociales y de salud (017)",59,54,1,4,,,,
"Otras activ. serv.comun.soc y personales (018)",75,19,32,20,,4,,
"Hogares privados con servicio doméstico (019)",69,,,,,,69,
"Actividad economica no especificada (021)",293,32,43,130,7,81,,
"Desocupado (022)",258,,,,,,,258
"Hombres (023)",5208,412,892,3011,141,536,17,199
"Agric., ganadería, caza y silvicultura (024)",3553,13,319,2624,123,474,,
"Pesca (025)",2,,1,1,,,,
"Explotación de minas y canteras (026)",13,,13,,,,,
"Industrias manufactureras (027)",137,1,47,74,4,11,,
"Suministro de electricidad, gas y agua (028)",12,1,3,,1,7,,
"Construcción (029)",417,5,349,43,3,17,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (030)",167,18,4,133,4,8,,
"Venta, mant.y rep. veh.autom.y motoc. (031)",13,1,3,8,1,,,
"Comercio al por mayor (032)",5,,,4,,1,,
"Comercio al por menor (033)",149,17,1,121,3,7,,
"Hoteles y restaurantes (034)",11,1,3,5,1,1,,
"Trans., almac. y comunicaciones (035)",86,24,12,49,1,,,
"Intermediación financiera (036)",1,1,,,,,,
"Activid.inmobil., empres. y alquileres (037)",37,20,6,10,1,,,
"Admin.pub. y defensa; p. segur.soc.afil (038)",190,116,74,,,,,
"Enseñanza (039)",193,175,1,16,,1,,
"Servicios sociales y de salud (040)",11,8,,3,,,,
"Otras activ. serv.comun.soc y personales (041)",55,14,30,11,,,,
"Hogares privados con servicio doméstico (042)",17,,,,,,17,
"Actividad economica no especificada (044)",107,15,30,42,3,17,,
"Desocupado (045)",199,,,,,,,199
"Mujeres (046)",2538,267,172,1027,54,907,52,59
"Agric., ganadería, caza y silvicultura (047)",1579,,111,638,47,783,,
"Explotación de minas y canteras (049)",1,,1,,,,,
"Industrias manufactureras (050)",30,2,6,21,,1,,
"Suministro de electricidad, gas y agua (051)",2,,,,,2,,
"Construcción (052)",23,,19,2,,2,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (053)",237,11,,181,2,43,,
"Venta, mant.y rep. veh.autom.y motoc. (054)",2,,,2,,,,
"Comercio al por mayor (055)",13,,,10,,3,,
"Comercio al por menor (056)",222,11,,169,2,40,,
"Hoteles y restaurantes (057)",123,40,10,66,,7,,
"Trans., almac. y comunicaciones (058)",6,4,2,,,,,
"Activid.inmobil., empres. y alquileres (060)",11,9,1,1,,,,
"Admin.pub. y defensa; p. segur.soc.afil (061)",29,23,6,,,,,
"Enseñanza (062)",132,110,,20,1,1,,
"Servicios sociales y de salud (063)",48,46,1,1,,,,
"Otras activ. serv.comun.soc y personales (064)",20,5,2,9,,4,,
"Hogares privados con servicio doméstico (065)",52,,,,,,52,
"Actividad economica no especificada (067)",186,17,13,88,4,64,,
,,,,,,,,
"URBANA (068)",4547,561,629,2235,102,822,41,157
"Agric., ganadería, caza y silvicultura (069)",2723,10,246,1670,87,710,,
"Explotación de minas y canteras (071)",1,,1,,,,,
"Industrias manufactureras (072)",96,1,30,57,2,6,,
"Suministro de electricidad, gas y agua (073)",4,1,2,,1,,,
"Construcción (074)",285,5,232,35,1,12,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (075)",300,19,3,238,3,37,,
"Venta, mant.y rep. veh.autom.y motoc. (076)",11,,2,8,1,,,
"Comercio al por mayor (077)",14,,,10,,4,,
"Comercio al por menor (078)",275,19,1,220,2,33,,
"Hoteles y restaurantes (079)",104,25,8,64,1,6,,
"Trans., almac. y comunicaciones (080)",61,24,7,30,,,,
"Intermediación financiera (081)",1,1,,,,,,
"Activid.inmobil., empres. y alquileres (082)",40,24,6,9,1,,,
"Admin.pub. y defensa; p. segur.soc.afil (083)",156,125,31,,,,,
"Enseñanza (084)",265,233,,29,1,2,,
"Servicios sociales y de salud (085)",54,50,1,3,,,,
"Otras activ. serv.comun.soc y personales (086)",57,13,28,13,,3,,
"Hogares privados con servicio doméstico (087)",41,,,,,,41,
"Actividad economica no especificada (089)",202,30,34,87,5,46,,
"Desocupado (090)",157,,,,,,,157
"Hombres (091)",2889,340,501,1541,67,312,10,118
"Agric., ganadería, caza y silvicultura (092)",1795,10,163,1284,57,281,,
"Explotación de minas y canteras (094)",1,,1,,,,,
"Industrias manufactureras (095)",77,,27,42,2,6,,
"Suministro de electricidad, gas y agua (096)",4,1,2,,1,,,
"Construcción (097)",269,5,218,33,1,12,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (098)",124,13,3,100,2,6,,
"Venta, mant.y rep. veh.autom.y motoc. (099)",9,,2,6,1,,,
"Comercio al por mayor (100)",4,,,3,,1,,
"Comercio al por menor (101)",111,13,1,91,1,5,,
"Hoteles y restaurantes (102)",9,1,1,5,1,1,,
"Trans., almac. y comunicaciones (103)",56,20,6,30,,,,
"Intermediación financiera (104)",1,1,,,,,,
"Activid.inmobil., empres. y alquileres (105)",32,17,5,9,1,,,
"Admin.pub. y defensa; p. segur.soc.afil (106)",132,104,28,,,,,
"Enseñanza (107)",149,138,,10,,1,,
"Servicios sociales y de salud (108)",8,6,,2,,,,
"Otras activ. serv.comun.soc y personales (109)",42,10,26,6,,,,
"Hogares privados con servicio doméstico (110)",10,,,,,,10,
"Actividad economica no especificada (112)",62,14,21,20,2,5,,
"Desocupado (113)",118,,,,,,,118
"Mujeres (114)",1658,221,128,694,35,510,31,39
"Agric., ganadería, caza y silvicultura (115)",928,,83,386,30,429,,
"Industrias manufactureras (118)",19,1,3,15,,,,
"Construcción (120)",16,,14,2,,,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (121)",176,6,,138,1,31,,
"Venta, mant.y rep. veh.autom.y motoc. (122)",2,,,2,,,,
"Comercio al por mayor (123)",10,,,7,,3,,
"Comercio al por menor (124)",164,6,,129,1,28,,
