"CUADRO Nº 10: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia CAJAMARCA (000)",106196,72604,10772,9450,13370
"Hombres (001)",74123,50325,7421,6312,10065
"Mujeres (002)",32073,22279,3351,3138,3305
"De 06 a 14 años (003)",1563,1416,108,33,6
"Hombres (004)",1014,908,80,22,4
"Mujeres (005)",549,508,28,11,2
"De 15 a 29 años (006)",39000,27540,4353,3371,3736
"Hombres (007)",26571,18603,3035,2247,2686
"Mujeres (008)",12429,8937,1318,1124,1050
"De 30 a 44 años (009)",38287,23673,4259,4086,6269
"Hombres (010)",26574,16210,2830,2705,4829
"Mujeres (011)",11713,7463,1429,1381,1440
"De 45 a 64 años (012)",22762,15773,1881,1870,3238
"Hombres (013)",16351,11309,1337,1270,2435
"Mujeres (014)",6411,4464,544,600,803
"De 65 y más años (015)",4584,4202,171,90,121
"Hombres (016)",3613,3295,139,68,111
"Mujeres (017)",971,907,32,22,10
,,,,,
"URBANA (018)",66155,39329,8302,8328,10196
"Hombres (019)",41102,23185,5366,5340,7211
"Mujeres (020)",25053,16144,2936,2988,2985
"De 06 a 14 años (021)",759,670,63,21,5
"Hombres (022)",482,412,53,14,3
"Mujeres (023)",277,258,10,7,2
"De 15 a 29 años (024)",23709,14969,3285,2907,2548
"Hombres (025)",14364,8693,2155,1846,1670
"Mujeres (026)",9345,6276,1130,1061,878
"De 30 a 44 años (027)",25305,13486,3400,3639,4780
"Hombres (028)",15690,7805,2115,2316,3454
"Mujeres (029)",9615,5681,1285,1323,1326
"De 45 a 64 años (030)",14458,8578,1446,1682,2752
"Hombres (031)",9251,5202,961,1105,1983
"Mujeres (032)",5207,3376,485,577,769
"De 65 y más años (033)",1924,1626,108,79,111
"Hombres (034)",1315,1073,82,59,101
"Mujeres (035)",609,553,26,20,10
,,,,,
"RURAL (036)",40041,33275,2470,1122,3174
"Hombres (037)",33021,27140,2055,972,2854
"Mujeres (038)",7020,6135,415,150,320
"De 06 a 14 años (039)",804,746,45,12,1
"Hombres (040)",532,496,27,8,1
"Mujeres (041)",272,250,18,4,
"De 15 a 29 años (042)",15291,12571,1068,464,1188
"Hombres (043)",12207,9910,880,401,1016
"Mujeres (044)",3084,2661,188,63,172
"De 30 a 44 años (045)",12982,10187,859,447,1489
"Hombres (046)",10884,8405,715,389,1375
"Mujeres (047)",2098,1782,144,58,114
"De 45 a 64 años (048)",8304,7195,435,188,486
"Hombres (049)",7100,6107,376,165,452
"Mujeres (050)",1204,1088,59,23,34
"De 65 y más años (051)",2660,2576,63,11,10
"Hombres (052)",2298,2222,57,9,10
"Mujeres (053)",362,354,6,2,
