"CUADRO Nº 35: POBLACIÓN DESOCUPADA DE 12 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"12 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia JUNIN (000)",663,2,329,199,115,18
"Conviviente (001)",161,,69,69,21,2
"Separado(a) (002)",22,,4,10,7,1
"Casado(a) (003)",145,,14,50,68,13
"Viudo(a) (004)",13,,1,2,10,
"Divorciado(a) (005)",4,,,3,1,
"Soltero(a) (006)",318,2,241,65,8,2
"Hombres (008)",502,,233,157,97,15
"Conviviente (009)",132,,53,60,17,2
"Separado(a) (010)",10,,,6,4,
"Casado(a) (011)",126,,11,40,62,13
"Viudo(a) (012)",7,,,1,6,
"Divorciado(a) (013)",3,,,3,,
"Soltero(a) (014)",224,,169,47,8,
"Mujeres (016)",161,2,96,42,18,3
"Conviviente (017)",29,,16,9,4,
"Separado(a) (018)",12,,4,4,3,1
"Casado(a) (019)",19,,3,10,6,
"Viudo(a) (020)",6,,1,1,4,
"Divorciado(a) (021)",1,,,,1,
"Soltero(a) (022)",94,2,72,18,,2
,,,,,,
"AREA URBANA (024)",572,2,276,173,106,15
"Conviviente (025)",143,,59,61,21,2
"Separado(a) (026)",19,,4,9,5,1
"Casado(a) (027)",132,,12,46,64,10
"Viudo(a) (028)",9,,1,1,7,
"Divorciado(a) (029)",4,,,3,1,
"Soltero(a) (030)",265,2,200,53,8,2
"Hombres (032)",428,,192,134,90,12
"Conviviente (033)",117,,46,52,17,2
"Separado(a) (034)",9,,,6,3,
"Casado(a) (035)",114,,9,37,58,10
"Viudo(a) (036)",4,,,,4,
"Divorciado(a) (037)",3,,,3,,
"Soltero(a) (038)",181,,137,36,8,
"Mujeres (040)",144,2,84,39,16,3
"Conviviente (041)",26,,13,9,4,
"Separado(a) (042)",10,,4,3,2,1
"Casado(a) (043)",18,,3,9,6,
"Viudo(a) (044)",5,,1,1,3,
"Divorciado(a) (045)",1,,,,1,
"Soltero(a) (046)",84,2,63,17,,2
,,,,,,
"AREA RURAL (048)",91,,53,26,9,3
"Conviviente (049)",18,,10,8,,
"Separado(a) (050)",3,,,1,2,
"Casado(a) (051)",13,,2,4,4,3
"Viudo(a) (052)",4,,,1,3,
"Soltero(a) (054)",53,,41,12,,
"Hombres (056)",74,,41,23,7,3
"Conviviente (057)",15,,7,8,,
"Separado(a) (058)",1,,,,1,
"Casado(a) (059)",12,,2,3,4,3
"Viudo(a) (060)",3,,,1,2,
"Soltero(a) (062)",43,,32,11,,
"Mujeres (064)",17,,12,3,2,
"Conviviente (065)",3,,3,,,
"Separado(a) (066)",2,,,1,1,
"Casado(a) (067)",1,,,1,,
"Viudo(a) (068)",1,,,,1,
"Soltero(a) (070)",10,,9,1,,
