"CUADRO Nº 39: POBLACIÓN ECONÓMICAMENTE INACTIVA DE 6 Y MÁS AÑOS , POR ACTIVIDAD NO LABORAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"ACTIVIDAD NO LABORAL",,,,,,,,
,,"ESTUDIANDO Y NO TRABAJO","VIVIENDO DE SU PENSIÓN Y JUBILACIÓN","VIVIENDO DE SUS RENTAS","AL CUIDADO DE SU HOGAR","POR SU EDAD","DE VIAJE",DISCAPACITADO,"SERVICIO MILITAR",OTRA
,,,,,,,,,,
"Provincia OYON (000)",10204,5129,125,176,4446,159,15,18,,136
"Hombres (001)",3709,2598,89,105,737,78,8,9,,85
"Mujeres (002)",6495,2531,36,71,3709,81,7,9,,51
"De 06 a 14 años (003)",4016,3858,,,79,44,1,4,,30
"Hombres (004)",2046,1960,,,41,24,,2,,19
"Mujeres (005)",1970,1898,,,38,20,1,2,,11
"De 15 a 29 años (006)",2601,1227,2,35,1284,,7,7,,39
"Hombres (007)",855,622,2,19,182,,4,3,,23
"Mujeres (008)",1746,605,,16,1102,,3,4,,16
"De 30 a 44 años (009)",1432,25,7,35,1340,,3,,,22
"Hombres (010)",232,12,1,15,187,,1,,,16
"Mujeres (011)",1200,13,6,20,1153,,2,,,6
"De 45 a 64 años (012)",1126,19,26,39,1014,,3,2,,23
"Hombres (013)",230,4,20,21,165,,2,2,,16
"Mujeres (014)",896,15,6,18,849,,1,,,7
"De 65 y más años (015)",1029,,90,67,729,115,1,5,,22
"Hombres (016)",346,,66,50,162,54,1,2,,11
"Mujeres (017)",683,,24,17,567,61,,3,,11
,,,,,,,,,,
"AREA URBANA (018)",7101,3596,97,123,3069,96,13,11,,96
"Hombres (019)",2503,1779,67,67,469,50,6,7,,58
"Mujeres (020)",4598,1817,30,56,2600,46,7,4,,38
"De 06 a 14 años (021)",2795,2686,,,58,27,1,1,,22
"Hombres (022)",1412,1353,,,29,15,,1,,14
"Mujeres (023)",1383,1333,,,29,12,1,,,8
"De 15 a 29 años (024)",1872,888,2,29,911,,7,5,,30
"Hombres (025)",565,415,2,14,112,,4,2,,16
"Mujeres (026)",1307,473,,15,799,,3,3,,14
"De 30 a 44 años (027)",995,14,6,26,933,,2,,,14
"Hombres (028)",141,8,1,11,111,,,,,10
"Mujeres (029)",854,6,5,15,822,,2,,,4
"De 45 a 64 años (030)",746,8,22,29,664,,2,2,,19
"Hombres (031)",152,3,17,14,103,,1,2,,12
"Mujeres (032)",594,5,5,15,561,,1,,,7
"De 65 y más años (033)",693,,67,39,503,69,1,3,,11
"Hombres (034)",233,,47,28,114,35,1,2,,6
"Mujeres (035)",460,,20,11,389,34,,1,,5
,,,,,,,,,,
"AREA RURAL (036)",3103,1533,28,53,1377,63,2,7,,40
"Hombres (037)",1206,819,22,38,268,28,2,2,,27
"Mujeres (038)",1897,714,6,15,1109,35,,5,,13
"De 06 a 14 años (039)",1221,1172,,,21,17,,3,,8
"Hombres (040)",634,607,,,12,9,,1,,5
"Mujeres (041)",587,565,,,9,8,,2,,3
"De 15 a 29 años (042)",729,339,,6,373,,,2,,9
"Hombres (043)",290,207,,5,70,,,1,,7
"Mujeres (044)",439,132,,1,303,,,1,,2
"De 30 a 44 años (045)",437,11,1,9,407,,1,,,8
"Hombres (046)",91,4,,4,76,,1,,,6
"Mujeres (047)",346,7,1,5,331,,,,,2
"De 45 a 64 años (048)",380,11,4,10,350,,1,,,4
"Hombres (049)",78,1,3,7,62,,1,,,4
"Mujeres (050)",302,10,1,3,288,,,,,
"De 65 y más años (051)",336,,23,28,226,46,,2,,11
"Hombres (052)",113,,19,22,48,19,,,,5
"Mujeres (053)",223,,4,6,178,27,,2,,6
