"CUADRO Nº 7: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia SECHURA (000)",22003,60497,51889,,1490,85.8,2.5
"De 12 a 14 años (001)",2088,2,2,,,100,
"De 15 a 19 años (002)",3259,563,546,170,97,30.2,
"De 20 a 24 años (003)",3268,2993,2905,425,97.1,14.2,
"De 25 a 29 años (004)",2669,4815,4664,393,96.9,8.2,
"De 30 a 34 años (005)",2149,5963,5659,271,94.9,4.5,
"De 35 a 39 años (006)",1921,6927,6369,166,91.9,2.4,
"De 40 a 44 años (007)",1509,6483,5844,59,90.1,0.9,
"De 45 a 49 años (008)",1297,6452,5521,6,85.6,0.1,
"De 50 y más años (009)",3843,26299,20379,,77.5,,
"Sin nivel (010)",1440,8841,6723,39,76,0.4,
"De 12 a 14 años (011)",21,,,,,,
"De 15 a 19 años (012)",31,7,7,1,100,14.3,
"De 20 a 24 años (013)",61,57,55,8,96.5,14,
"De 25 a 29 años (014)",58,123,120,8,97.6,6.5,
"De 30 a 34 años (015)",66,209,197,8,94.3,3.8,
"De 35 a 39 años (016)",76,314,280,6,89.2,1.9,
"De 40 a 44 años (017)",111,525,451,5,85.9,1,
"De 45 a 49 años (018)",106,539,452,3,83.9,0.6,
"De 50 y más años (019)",910,7067,5161,,73,,
"Educacion Inicial (020)",101,182,171,13,94,7.1,
"De 12 a 14 años (021)",19,,,,,,
"De 15 a 19 años (022)",14,4,4,1,100,25,
"De 20 a 24 años (023)",14,21,21,5,100,23.8,
"De 25 a 29 años (024)",28,67,62,5,92.5,7.5,
"De 30 a 34 años (025)",17,55,51,,92.7,,
"De 35 a 39 años (026)",9,35,33,2,94.3,5.7,
"Primaria (030)",11082,38340,32614,754,85.1,2,
"De 12 a 14 años (031)",1228,1,1,,100,,
"De 15 a 19 años (032)",1097,264,252,75,95.5,28.4,
"De 20 a 24 años (033)",1246,1513,1453,177,96,11.7,
"De 25 a 29 años (034)",1165,2551,2458,198,96.4,7.8,
"De 30 a 34 años (035)",1059,3468,3254,156,93.8,4.5,
"De 35 a 39 años (036)",1065,4383,3985,108,90.9,2.5,
"De 40 a 44 años (037)",901,4284,3826,39,89.3,0.9,
"De 45 a 49 años (038)",849,4705,3980,1,84.6,,
"De 50 y más años (039)",2472,17171,13405,,78.1,,
