"CUADRO Nº 6: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIAL, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia BOLOGNESI (000)",7998,7677,39,1372,1464,1268,1795,1062,494,183,321,28962
"De 12 a 14 años (001)",9,6,1,5,,,,,,,3,5
"De 15 a 19 años (002)",166,148,4,122,20,,2,,,,18,170
"De 20 a 24 años (003)",768,658,3,393,205,47,9,1,,,110,987
"De 25 a 29 años (004)",908,836,6,303,280,161,77,8,1,,72,1732
"De 30 a 34 años (005)",864,816,3,149,234,210,172,41,6,1,48,2309
"De 35 a 39 años (006)",888,866,4,101,194,204,252,88,17,6,22,2969
"De 40 a 44 años (007)",751,739,4,59,119,149,220,130,41,17,12,3066
"De 45 a 49 años (008)",643,635,1,43,79,98,186,139,61,28,8,3030
"De 50 y más años (009)",3001,2973,13,197,333,399,877,655,368,131,28,14694
"PEA (010)",2595,2448,7,493,512,414,547,311,115,49,147,8651
"De 15 a 19 años (012)",30,29,,22,7,,,,,,1,36
"De 20 a 24 años (013)",235,190,1,119,55,9,5,1,,,45,282
"De 25 a 29 años (014)",338,296,3,131,100,42,16,4,,,42,548
"De 30 a 34 años (015)",316,288,,69,95,73,44,7,,,28,709
"De 35 a 39 años (016)",373,360,1,55,88,83,95,29,7,2,13,1159
"De 40 a 44 años (017)",305,301,,27,65,68,86,39,10,6,4,1143
"De 45 a 49 años (018)",222,219,,18,28,35,67,52,13,6,3,984
"De 50 y más años (019)",776,765,2,52,74,104,234,179,85,35,11,3790
"Ocupada (020)",2518,2380,5,470,493,405,537,307,114,49,138,8482
"De 15 a 19 años (022)",29,28,,21,7,,,,,,1,35
"De 20 a 24 años (023)",221,177,1,109,52,9,5,1,,,44,266
"De 25 a 29 años (024)",317,279,1,123,95,40,16,4,,,38,524
