"CUADRO Nº 12: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia SAN PABLO (000)",5923,5083,339,112,389
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",13,,1,1,11
"Profes., científicos e intelectuales (002)",491,150,80,38,223
"Técnicos de nivel medio y trab. asimilados (003)",80,43,6,6,25
"Jefes y empleados de oficina (004)",81,8,5,9,59
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",262,250,8,1,3
"Agricult.trabaj.calif.agrop.y pesqueros (006)",2168,2106,62,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",341,327,8,2,4
"Obreros construc.,conf.,papel, fab., instr. (008)",211,151,24,15,21
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",2142,1939,131,38,34
"Otra (010)",9,,,,9
"Ocupación no especificada (011)",125,109,14,2,
"Hombres (012)",4604,4017,262,87,238
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",12,,1,1,10
"Profes., científicos e intelectuales (014)",265,79,53,24,109
"Técnicos de nivel medio y trab. asimilados (015)",66,40,4,5,17
"Jefes y empleados de oficina (016)",52,3,2,6,41
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",102,99,,1,2
"Agricult.trabaj.calif.agrop.y pesqueros (018)",1997,1938,59,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",186,173,7,2,4
"Obreros construc.,conf.,papel, fab., instr. (020)",209,149,24,15,21
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",1679,1510,111,33,25
"Otra (022)",9,,,,9
"Ocupación no especificada (023)",27,26,1,,
"Mujeres (024)",1319,1066,77,25,151
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",1,,,,1
"Profes., científicos e intelectuales (026)",226,71,27,14,114
"Técnicos de nivel medio y trab. asimilados (027)",14,3,2,1,8
"Jefes y empleados de oficina (028)",29,5,3,3,18
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",160,151,8,,1
"Agricult.trabaj.calif.agrop.y pesqueros (030)",171,168,3,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",155,154,1,,
"Obreros construc.,conf.,papel, fab., instr. (032)",2,2,,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (033)",463,429,20,5,9
"Ocupación no especificada (035)",98,83,13,2,
