"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia CONTUMAZA (000)",31042,13000,18042
"Casa independiente (001)",29128,12861,16267
"Vivienda en quinta (003)",95,95,
"Vivienda en casa de vecindad (004)",31,31,
"Choza o cabaña (005)",1775,,1775
"Vivienda improvisada (006)",8,8,
"Local no dest.para hab. humana (007)",1,1,
"Otro tipo (008)",4,4,
