"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia CHURCAMPA (000)",43771,9051,34720
"Casa independiente (001)",42340,8527,33813
"Departamento en edificio (002)",17,17,
"Vivienda en quinta (003)",55,55,
"Vivienda en casa de vecindad (004)",443,443,
"Choza o cabaña (005)",894,,894
"Local no dest.para hab. humana (007)",17,9,8
"Otro tipo (008)",5,,5
