"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia OCROS (000)",8686,376,822,856,721,1323,1180,2257,1151
"Sin nivel (001)",987,376,98,4,1,22,63,191,232
"Educación inicial (002)",186,,183,,,2,1,,
"Primaria (003)",3782,,541,619,100,293,377,1126,726
"Secundaria (004)",2723,,,233,558,692,483,645,112
"Superior no univ. incompleto (005)",230,,,,22,85,56,52,15
"Superior no univ. completo (006)",245,,,,,84,69,70,22
"Superior univ. incompleto (007)",186,,,,40,77,39,26,4
"Superior univ. completo (008)",347,,,,,68,92,147,40
"Hombres (010)",4512,175,419,441,395,715,624,1196,547
"Sin nivel (011)",356,175,58,3,,9,24,51,36
"Educación inicial (012)",82,,81,,,,1,,
"Primaria (013)",1881,,280,333,52,146,174,525,371
"Secundaria (014)",1608,,,105,315,406,277,420,85
"Superior no univ. incompleto (015)",137,,,,9,39,35,43,11
"Superior no univ. completo (016)",126,,,,,34,40,39,13
"Superior univ. incompleto (017)",107,,,,19,44,22,19,3
"Superior univ. completo (018)",215,,,,,37,51,99,28
"Mujeres (020)",4174,201,403,415,326,608,556,1061,604
"Sin nivel (021)",631,201,40,1,1,13,39,140,196
"Educación inicial (022)",104,,102,,,2,,,
"Primaria (023)",1901,,261,286,48,147,203,601,355
"Secundaria (024)",1115,,,128,243,286,206,225,27
"Superior no univ. incompleto (025)",93,,,,13,46,21,9,4
"Superior no univ. completo (026)",119,,,,,50,29,31,9
"Superior univ. incompleto (027)",79,,,,21,33,17,7,1
"Superior univ. completo (028)",132,,,,,31,41,48,12
,,,,,,,,,
"URBANA (030)",5026,199,457,456,407,732,694,1341,740
"Sin nivel (031)",503,199,53,2,1,10,26,84,128
"Educación inicial (032)",111,,109,,,1,1,,
"Primaria (033)",2121,,295,343,45,153,200,622,463
"Secundaria (034)",1560,,,111,327,358,269,411,84
"Superior no univ. incompleto (035)",148,,,,13,52,38,31,14
"Superior no univ. completo (036)",179,,,,,57,54,54,14
"Superior univ. incompleto (037)",128,,,,21,50,30,24,3
"Superior univ. completo (038)",276,,,,,51,76,115,34
"Hombres (040)",2595,88,249,239,216,402,359,708,334
"Sin nivel (041)",169,88,36,2,,3,9,18,13
"Educación inicial (042)",55,,54,,,,1,,
"Primaria (043)",1013,,159,189,18,73,81,275,218
"Secundaria (044)",934,,,48,182,220,153,269,62
"Superior no univ. incompleto (045)",92,,,,5,26,26,25,10
"Superior no univ. completo (046)",90,,,,,25,32,28,5
"Superior univ. incompleto (047)",76,,,,11,28,17,18,2
"Superior univ. completo (048)",166,,,,,27,40,75,24
"Mujeres (050)",2431,111,208,217,191,330,335,633,406
"Sin nivel (051)",334,111,17,,1,7,17,66,115
"Educación inicial (052)",56,,55,,,1,,,
"Primaria (053)",1108,,136,154,27,80,119,347,245
"Secundaria (054)",626,,,63,145,138,116,142,22
"Superior no univ. incompleto (055)",56,,,,8,26,12,6,4
"Superior no univ. completo (056)",89,,,,,32,22,26,9
"Superior univ. incompleto (057)",52,,,,10,22,13,6,1
"Superior univ. completo (058)",110,,,,,24,36,40,10
,,,,,,,,,
"RURAL (060)",3660,177,365,400,314,591,486,916,411
"Sin nivel (061)",484,177,45,2,,12,37,107,104
"Educación inicial (062)",75,,74,,,1,,,
"Primaria (063)",1661,,246,276,55,140,177,504,263
"Secundaria (064)",1163,,,122,231,334,214,234,28
"Superior no univ. incompleto (065)",82,,,,9,33,18,21,1
"Superior no univ. completo (066)",66,,,,,27,15,16,8
"Superior univ. incompleto (067)",58,,,,19,27,9,2,1
"Superior univ. completo (068)",71,,,,,17,16,32,6
"Hombres (070)",1917,87,170,202,179,313,265,488,213
"Sin nivel (071)",187,87,22,1,,6,15,33,23
"Educación inicial (072)",27,,27,,,,,,
"Primaria (073)",868,,121,144,34,73,93,250,153
"Secundaria (074)",674,,,57,133,186,124,151,23
"Superior no univ. incompleto (075)",45,,,,4,13,9,18,1
"Superior no univ. completo (076)",36,,,,,9,8,11,8
"Superior univ. incompleto (077)",31,,,,8,16,5,1,1
"Superior univ. completo (078)",49,,,,,10,11,24,4
"Mujeres (080)",1743,90,195,198,135,278,221,428,198
"Sin nivel (081)",297,90,23,1,,6,22,74,81
"Educación inicial (082)",48,,47,,,1,,,
"Primaria (083)",793,,125,132,21,67,84,254,110
"Secundaria (084)",489,,,65,98,148,90,83,5
"Superior no univ. incompleto (085)",37,,,,5,20,9,3,
"Superior no univ. completo (086)",30,,,,,18,7,5,
"Superior univ. incompleto (087)",27,,,,11,11,4,1,
"Superior univ. completo (088)",22,,,,,7,5,8,2
