"CUADRO Nº 16: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"CATEGORIA DE OCUPACION",,,,,,DESOCUPADO
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR",
,,,,,,,,
"Provincia VICTOR FAJARDO (000)",8442,1150,1770,3969,82,1098,57,316
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",44,44,,,,,,
"Profes., científicos e intelectuales (002)",636,575,,59,2,,,
"Técnicos de nivel medio y trab. asimilados (003)",164,141,,16,4,3,,
"Jefes y empleados de oficina (004)",225,225,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",514,27,13,431,5,38,,
"Agricult.trabaj.calif.agrop.y pesqueros (006)",3030,1,2,2971,56,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",433,,333,92,3,5,,
"Obreros construc.,conf.,papel, fab., instr. (008)",412,17,248,131,8,8,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (009)",2402,95,1139,135,1,975,57,
"Otra (010)",1,1,,,,,,
"Ocupación no especificada (011)",265,24,35,134,3,69,,
"Desocupado (012)",316,,,,,,,316
"Hombres (013)",5678,765,1432,2706,55,495,,225
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (014)",32,32,,,,,,
"Profes., científicos e intelectuales (015)",409,384,,24,1,,,
"Técnicos de nivel medio y trab. asimilados (016)",122,108,,12,1,1,,
"Jefes y empleados de oficina (017)",145,145,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (018)",124,13,6,96,2,7,,
"Agricult.trabaj.calif.agrop.y pesqueros (019)",2324,1,1,2281,41,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (020)",407,,327,74,2,4,,
"Obreros construc.,conf.,papel, fab., instr. (021)",399,17,241,127,7,7,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (022)",1395,52,838,44,,461,,
"Otra (023)",1,1,,,,,,
"Ocupación no especificada (024)",95,12,19,48,1,15,,
"Desocupado (025)",225,,,,,,,225
"Mujeres (026)",2764,385,338,1263,27,603,57,91
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (027)",12,12,,,,,,
"Profes., científicos e intelectuales (028)",227,191,,35,1,,,
"Técnicos de nivel medio y trab. asimilados (029)",42,33,,4,3,2,,
"Jefes y empleados de oficina (030)",80,80,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (031)",390,14,7,335,3,31,,
"Agricult.trabaj.calif.agrop.y pesqueros (032)",706,,1,690,15,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (033)",26,,6,18,1,1,,
"Obreros construc.,conf.,papel, fab., instr. (034)",13,,7,4,1,1,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (035)",1007,43,301,91,1,514,57,
"Ocupación no especificada (037)",170,12,16,86,2,54,,
"Desocupado (038)",91,,,,,,,91
,,,,,,,,
"URBANA (039)",6577,1035,1493,2853,72,834,55,235
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (040)",42,42,,,,,,
"Profes., científicos e intelectuales (041)",550,504,,44,2,,,
"Técnicos de nivel medio y trab. asimilados (042)",152,131,,16,4,1,,
"Jefes y empleados de oficina (043)",207,207,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (044)",470,25,11,395,4,35,,
"Agricult.trabaj.calif.agrop.y pesqueros (045)",2032,1,,1981,50,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (046)",408,,314,87,3,4,,
"Obreros construc.,conf.,papel, fab., instr. (047)",332,15,210,96,5,6,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (048)",1939,89,926,125,1,743,55,
"Otra (049)",1,1,,,,,,
"Ocupación no especificada (050)",209,20,32,109,3,45,,
"Desocupado (051)",235,,,,,,,235
"Hombres (052)",4338,687,1220,1857,46,352,,176
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (053)",30,30,,,,,,
"Profes., científicos e intelectuales (054)",353,339,,13,1,,,
"Técnicos de nivel medio y trab. asimilados (055)",116,103,,12,1,,,
"Jefes y empleados de oficina (056)",128,128,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (057)",108,11,4,86,1,6,,
"Agricult.trabaj.calif.agrop.y pesqueros (058)",1540,1,,1504,35,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (059)",383,,308,70,2,3,,
"Obreros construc.,conf.,papel, fab., instr. (060)",324,15,206,92,5,6,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (061)",1100,48,686,38,,328,,
"Otra (062)",1,1,,,,,,
"Ocupación no especificada (063)",79,11,16,42,1,9,,
"Desocupado (064)",176,,,,,,,176
"Mujeres (065)",2239,348,273,996,26,482,55,59
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (066)",12,12,,,,,,
"Profes., científicos e intelectuales (067)",197,165,,31,1,,,
"Técnicos de nivel medio y trab. asimilados (068)",36,28,,4,3,1,,
"Jefes y empleados de oficina (069)",79,79,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (070)",362,14,7,309,3,29,,
"Agricult.trabaj.calif.agrop.y pesqueros (071)",492,,,477,15,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (072)",25,,6,17,1,1,,
"Obreros construc.,conf.,papel, fab., instr. (073)",8,,4,4,,,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (074)",839,41,240,87,1,415,55,
"Ocupación no especificada (076)",130,9,16,67,2,36,,
"Desocupado (077)",59,,,,,,,59
,,,,,,,,
"RURAL (078)",1865,115,277,1116,10,264,2,81
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (079)",2,2,,,,,,
"Profes., científicos e intelectuales (080)",86,71,,15,,,,
"Técnicos de nivel medio y trab. asimilados (081)",12,10,,,,2,,
"Jefes y empleados de oficina (082)",18,18,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (083)",44,2,2,36,1,3,,
"Agricult.trabaj.calif.agrop.y pesqueros (084)",998,,2,990,6,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (085)",25,,19,5,,1,,
"Obreros construc.,conf.,papel, fab., instr. (086)",80,2,38,35,3,2,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (087)",463,6,213,10,,232,2,
"Ocupación no especificada (089)",56,4,3,25,,24,,
"Desocupado (090)",81,,,,,,,81
"Hombres (091)",1340,78,212,849,9,143,,49
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (092)",2,2,,,,,,
"Profes., científicos e intelectuales (093)",56,45,,11,,,,
"Técnicos de nivel medio y trab. asimilados (094)",6,5,,,,1,,
"Jefes y empleados de oficina (095)",17,17,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (096)",16,2,2,10,1,1,,
"Agricult.trabaj.calif.agrop.y pesqueros (097)",784,,1,777,6,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (098)",24,,19,4,,1,,
"Obreros construc.,conf.,papel, fab., instr. (099)",75,2,35,35,2,1,,
