"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia OYON (000)",7550,354,7,1736,2944,551,630,325,1003
"Miembros p.ejec. y leg.direct., adm.pub.y emp (001)",18,,,2,1,1,3,3,8
"Profes., científicos e intelectuales (002)",619,,,,8,21,63,62,465
"Técnicos de nivel medio ytrab.asimilados (003)",343,1,,9,60,81,103,20,69
"Jefes y empleados de oficina (004)",192,,,2,58,22,36,8,66
"Trab.de serv.pers.y vend.del comerc y mcdo. (005)",724,36,1,182,322,59,52,24,48
"Agricult.trabaj. calif.agrop. y pesquros (006)",1255,125,,567,383,49,41,37,53
"Obreros y oper.minas, cant., ind.manuf.y otros (007)",1293,27,,190,685,121,128,53,89
"Obreros. construc., conf., papel, fab., instr (008)",704,6,,118,358,59,66,49,48
"Trabaj.no calif.serv. peon, vend., amb.,y afines (009)",1816,141,5,565,795,99,72,50,89
"Otra (010)",45,,,,14,4,10,3,14
"Ocupación no especificada (011)",541,18,1,101,260,35,56,16,54
"Hombres (012)",5609,116,4,1182,2407,445,497,273,685
"Miembros p.ejec. y leg.direct., adm.pub.y emp (013)",15,,,2,1,,2,2,8
"Profes., científicos e intelectuales (014)",354,,,,2,16,24,37,275
"Técnicos de nivel medio ytrab.asimilados (015)",293,,,6,54,71,89,18,55
"Jefes y empleados de oficina (016)",111,,,1,41,9,17,2,41
"Trab.de serv.pers.y vend.del comerc y mcdo. (017)",285,3,,57,143,27,24,18,13
"Agricult.trabaj. calif.agrop. y pesquros (018)",1037,47,,472,350,46,39,37,46
"Obreros y oper.minas, cant., ind.manuf.y otros (019)",1249,17,,184,672,116,127,50,83
"Obreros. construc., conf., papel, fab., instr (020)",691,6,,116,351,58,66,48,46
"Trabaj.no calif.serv. peon, vend., amb.,y afines (021)",1118,36,3,277,567,72,52,45,66
"Otra (022)",44,,,,14,4,10,3,13
"Ocupación no especificada (023)",412,7,1,67,212,26,47,13,39
"Mujeres (024)",1941,238,3,554,537,106,133,52,318
"Miembros p.ejec. y leg.direct., adm.pub.y emp (025)",3,,,,,1,1,1,
"Profes., científicos e intelectuales (026)",265,,,,6,5,39,25,190
"Técnicos de nivel medio ytrab.asimilados (027)",50,1,,3,6,10,14,2,14
"Jefes y empleados de oficina (028)",81,,,1,17,13,19,6,25
"Trab.de serv.pers.y vend.del comerc y mcdo. (029)",439,33,1,125,179,32,28,6,35
"Agricult.trabaj. calif.agrop. y pesquros (030)",218,78,,95,33,3,2,,7
"Obreros y oper.minas, cant., ind.manuf.y otros (031)",44,10,,6,13,5,1,3,6
"Obreros. construc., conf., papel, fab., instr (032)",13,,,2,7,1,,1,2
"Trabaj.no calif.serv. peon, vend., amb.,y afines (033)",698,105,2,288,228,27,20,5,23
"Otra (034)",1,,,,,,,,1
"Ocupación no especificada (035)",129,11,,34,48,9,9,3,15
,,,,,,,,,
"URBANA (036)",4175,202,5,910,1723,279,316,168,572
"Miembros p.ejec. y leg.direct., adm.pub.y emp (037)",17,,,2,1,1,3,3,7
"Profes., científicos e intelectuales (038)",418,,,,6,17,51,37,307
